Label,contextRef,unitRef,Dec,Prec,Lang,Value
Document Type,Duration_01May2012_30Apr2013,,,,,485BPOS
Prospectus Date,Duration_01May2012_30Apr2013,,,,,2013-04-30
Registrant Name,Duration_01May2012_30Apr2013,,,,,BlackRock Funds III
Central Index Key,Duration_01May2012_30Apr2013,,,,,0000893818
Amendment Flag,Duration_01May2012_30Apr2013,,,,,false
Document Creation Date,Duration_01May2012_30Apr2013,,,,,2013-04-30
Document Effective Date,Duration_01May2012_30Apr2013,,,,,2013-04-30
Document Period End Date,Duration_01May2012_30Apr2013,,,,,2012-12-31
Risk/Return [Heading],Duration_01May2012_30Apr2013S000004270_MemberInvestorInstitutional_Member,,,,,Fund Overview<br/><br/><b>Key Facts about BlackRock Bond Index Fund</b>
Objective [Heading],Duration_01May2012_30Apr2013S000004270_MemberInvestorInstitutional_Member,,,,,<b>Investment Objective </b>
"Objective, Primary [Text Block]",Duration_01May2012_30Apr2013S000004270_MemberInvestorInstitutional_Member,,,,,"BlackRock Bond Index Fund (the &#8220;Fund&#8221;), a series of BlackRock Funds III (the &#8220;Trust&#8221;), seeks to provide investment results that correspond to the total return performance of fixed-income securities in the aggregate, as represented by the Barclays U.S. Aggregate Bond Index (the &#8220;Barclays U.S. Aggregate Index&#8221;)."
Expense [Heading],Duration_01May2012_30Apr2013S000004270_MemberInvestorInstitutional_Member,,,,,<b>Fees and Expenses of the Fund </b>
Expense Narrative [Text Block],Duration_01May2012_30Apr2013S000004270_MemberInvestorInstitutional_Member,,,,,The table below describes the fees and expenses that you may pay if you buy and hold shares of the Fund.
Operating Expenses Caption [Text],Duration_01May2012_30Apr2013S000004270_MemberInvestorInstitutional_Member,,,,,<b>Annual Fund Operating Expenses<br/>(expenses that you pay each year as a percentage of the value of your investment)</b>
Management Fees (as a percentage of Assets),Duration_01May2012_30Apr2013S000004270_MemberC000099166_MemberInvestorInstitutional_Member,pure,4,,,0.0008
Management Fees (as a percentage of Assets),Duration_01May2012_30Apr2013S000004270_MemberC000099167_MemberInvestorInstitutional_Member,pure,4,,,0.0008
Distribution and Service (12b-1) Fees,Duration_01May2012_30Apr2013S000004270_MemberC000099166_MemberInvestorInstitutional_Member,pure,4,,,0.0025
Distribution and Service (12b-1) Fees,Duration_01May2012_30Apr2013S000004270_MemberC000099167_MemberInvestorInstitutional_Member,pure,4,,,0.0000
Other Expenses (as a percentage of Assets):,Duration_01May2012_30Apr2013S000004270_MemberC000099166_MemberInvestorInstitutional_Member,pure,4,,,0.0020
