Label,contextRef,unitRef,Dec,Prec,Lang,Value
Amendment Flag,Duration_29Jan2012_28Jan2013,,,,,false
Document Period End Date,Duration_29Jan2012_28Jan2013,,,,,2012-09-30
Annual Fund Operating Expenses [Table],Duration_29Jan2012_28Jan2013S000002520_Member,,,,,"<div style=""display:none"">~ http://www.blackrock.com/role/ScheduleAnnualFundOperatingExpensesBLACKROCKCAPITALAPPRECIATIONFUND,INC.BlackRockShares column period compact * ~</div>"
Document Type,Duration_29Jan2012_28Jan2013,,,,,485BPOS
Registrant Name,Duration_29Jan2012_28Jan2013,,,,,"BlackRock Capital Appreciation Fund, Inc."
Prospectus Date,Duration_29Jan2012_28Jan2013,,,,,2013-01-28
Central Index Key,Duration_29Jan2012_28Jan2013,,,,,0000887509
Document Effective Date,Duration_29Jan2012_28Jan2013,,,,,2013-01-28
Document Creation Date,Duration_29Jan2012_28Jan2013,,,,,2013-01-28
"Objective, Primary [Text Block]",Duration_29Jan2012_28Jan2013S000002520_MemberBlackrock_Member,,,,,"The investment objective of the BlackRock Capital Appreciation Fund, Inc. (the &#8220;Fund&#8221;) is to seek long-term growth of capital."
Expense Narrative [Text Block],Duration_29Jan2012_28Jan2013S000002520_MemberBlackrock_Member,,,,,This table describes the fees and expenses that you may pay if you buy and hold BlackRock Shares of the Fund.
Expense Example Narrative [Text Block],Duration_29Jan2012_28Jan2013S000002520_MemberBlackrock_Member,,,,,"This Example is intended to help you compare the cost of investing in the Fund with the cost of investing in other mutual funds. The Example assumes that you invest $10,000 in the Fund for the time periods indicated and then redeem all of your shares at the end of those periods. The Example also assumes that your investment has a 5% return each year and that the Fund&#8217;s operating expenses remain the same. Although your actual costs may be higher or lower, based on these assumptions your costs would be:"
Risk/Return [Heading],Duration_29Jan2012_28Jan2013S000002520_MemberBlackrock_Member,,,,,"Fund Overview<br/><br/><b>Key Facts about BlackRock Capital Appreciation Fund, Inc. </b>"
Objective [Heading],Duration_29Jan2012_28Jan2013S000002520_MemberBlackrock_Member,,,,,<b>Investment Objective</b>
Expense [Heading],Duration_29Jan2012_28Jan2013S000002520_MemberBlackrock_Member,,,,,<b>Fees and Expenses of the Fund </b>
Operating Expenses Caption [Text],Duration_29Jan2012_28Jan2013S000002520_MemberBlackrock_Member,,,,,<b>Annual Fund Operating Expenses</b><br><b>(expenses that you pay each year as a percentage of the value of your investment)</b>
Portfolio Turnover [Heading],Duration_29Jan2012_28Jan2013S000002520_MemberBlackrock_Member,,,,,<b>Portfolio Turnover:</b>
Expense Example [Heading],Duration_29Jan2012_28Jan2013S000002520_MemberBlackrock_Member,,,,,<b>Example:</b>
Strategy [Heading],Duration_29Jan2012_28Jan2013S000002520_MemberBlackrock_Member,,,,,<b>Principal Investment Strategies of the Fund</b>
Risk [Heading],Duration_29Jan2012_28Jan2013S000002520_MemberBlackrock_Member,,,,,<b>Principal Risks of Investing in the Fund</b>
Bar Chart and Performance Table [Heading],Duration_29Jan2012_28Jan2013S000002520_MemberBlackrock_Member,,,,,<b>Performance Information</b>
