Label,contextRef,unitRef,Dec,Prec,Lang,Value
Shareholder Fees [Table],Duration_29Jan2012_28Jan2013S000030675_Member,,,,,"<div style=""display:none"">~ http://www.blackrock.com/role/ScheduleShareholderFeesBlackRockChinaFund column period compact * ~</div>"
Annual Fund Operating Expenses [Table],Duration_29Jan2012_28Jan2013S000030675_Member,,,,,"<div style=""display:none"">~ http://www.blackrock.com/role/ScheduleAnnualFundOperatingExpensesBlackRockChinaFund column period compact * ~</div>"
"Expense Example, With Redemption [Table]",Duration_29Jan2012_28Jan2013S000030675_Member,,,,,"<div style=""display:none"">~ http://www.blackrock.com/role/ScheduleExpenseExampleTransposedBlackRockChinaFund column period compact * ~</div>"
"Expense Example, No Redemption [Table]",Duration_29Jan2012_28Jan2013S000030675_Member,,,,,"<div style=""display:none"">~ http://www.blackrock.com/role/ScheduleExpenseExampleNoRedemptionTransposedBlackRockChinaFund column period compact * ~</div>"
Performance [Table],Duration_29Jan2012_28Jan2013S000030675_Member,,,,,"<div style=""display:none"">~ http://www.blackrock.com/role/ScheduleAverageAnnualTotalReturnsTransposedBlackRockChinaFund column period compact * ~</div>"
Prospectus Date,Duration_29Jan2012_28Jan2013,,,,,2013-01-28
Document Period End Date,Duration_29Jan2012_28Jan2013,,,,,2012-09-30
Risk/Return [Heading],Duration_29Jan2012_28Jan2013S000030675_Member,,,,,Fund Overview<br/><b>Key Facts About BlackRock China Fund </b>
Document Type,Duration_29Jan2012_28Jan2013,,,,,485BPOS
Registrant Name,Duration_29Jan2012_28Jan2013,,,,,BLACKROCK FUNDS
Central Index Key,Duration_29Jan2012_28Jan2013,,,,,0000844779
Document Creation Date,Duration_29Jan2012_28Jan2013,,,,,2013-01-28
Document Effective Date,Duration_29Jan2012_28Jan2013,,,,,2013-01-28
Amendment Flag,Duration_29Jan2012_28Jan2013,,,,,false
Objective [Heading],Duration_29Jan2012_28Jan2013S000030675_Member,,,,,<b>Investment Objective </b>
"Objective, Primary [Text Block]",Duration_29Jan2012_28Jan2013S000030675_Member,,,,,"The investment objective of the BlackRock China Fund (the &#8220;Fund&#8221;), a series of BlackRock Funds<sup>SM</sup> (the &#8220;Trust&#8221;), is to seek to maximize total return. Total return means the combination of capital appreciation and investment income."
Expense [Heading],Duration_29Jan2012_28Jan2013S000030675_Member,,,,,<b>Fees and Expenses of the Fund </b>
