Label,contextRef,unitRef,Dec,Prec,Lang,Value
Objective [Heading],Duration_29Feb2012_28Feb2013S000002250_Member,,,,,<b>Investment Objective </b>
Management Fees (as a percentage of Assets),Duration_29Feb2012_28Feb2013S000002250_MemberC000005814_Member,pure,4,,,0.0100
Management Fees (as a percentage of Assets),Duration_29Feb2012_28Feb2013S000002250_MemberC000005815_Member,pure,4,,,0.0100
Management Fees (as a percentage of Assets),Duration_29Feb2012_28Feb2013S000002250_MemberC000005816_Member,pure,4,,,0.0100
Management Fees (as a percentage of Assets),Duration_29Feb2012_28Feb2013S000002250_MemberC000005817_Member,pure,4,,,0.0100
Distribution and Service (12b-1) Fees,Duration_29Feb2012_28Feb2013S000002250_MemberC000005814_Member,pure,4,,,0.0025
Distribution and Service (12b-1) Fees,Duration_29Feb2012_28Feb2013S000002250_MemberC000005815_Member,pure,4,,,0.0100
Distribution and Service (12b-1) Fees,Duration_29Feb2012_28Feb2013S000002250_MemberC000005816_Member,pure,4,,,0.0100
Distribution and Service (12b-1) Fees,Duration_29Feb2012_28Feb2013S000002250_MemberC000005817_Member,pure,4,,,0.0000
Acquired Fund Fees and Expenses,Duration_29Feb2012_28Feb2013S000002250_MemberC000005814_Member,pure,4,,,0.0001
Acquired Fund Fees and Expenses,Duration_29Feb2012_28Feb2013S000002250_MemberC000005815_Member,pure,4,,,0.0001
Acquired Fund Fees and Expenses,Duration_29Feb2012_28Feb2013S000002250_MemberC000005816_Member,pure,4,,,0.0001
Acquired Fund Fees and Expenses,Duration_29Feb2012_28Feb2013S000002250_MemberC000005817_Member,pure,4,,,0.0001
Portfolio Turnover [Heading],Duration_29Feb2012_28Feb2013S000002250_Member,,,,,<b>Portfolio Turnover:</b>
Registrant Name,Duration_29Feb2012_28Feb2013,,,,,"BLACKROCK EMERGING MARKETS FUND, INC."
Central Index Key,Duration_29Feb2012_28Feb2013,,,,,0000849402
Document Creation Date,Duration_29Feb2012_28Feb2013,,,,,2013-02-28
Document Effective Date,Duration_29Feb2012_28Feb2013,,,,,2013-02-28
Prospectus Date,Duration_29Feb2012_28Feb2013,,,,,2013-02-28
Amendment Flag,Duration_29Feb2012_28Feb2013,,,,,false
Document Type,Duration_29Feb2012_28Feb2013,,,,,485BPOS
Document Period End Date,Duration_29Feb2012_28Feb2013,,,,,2012-10-31
"Objective, Primary [Text Block]",Duration_29Feb2012_28Feb2013S000002250_Member,,,,,"The investment objective of BlackRock Emerging Markets Fund, Inc. (&#8220;Emerging Markets Fund&#8221; or the &#8220;Fund&#8221;) is to seek long-term capital appreciation by investing in securities, principally equity securities, of issuers in countries having smaller capital markets."
Expense [Heading],Duration_29Feb2012_28Feb2013S000002250_Member,,,,,<b>Fees and Expenses of the Fund </b>
Expense Narrative [Text Block],Duration_29Feb2012_28Feb2013S000002250_Member,,,,,"This table describes the fees and expenses that you may pay if you buy and hold shares of Emerging Markets Fund. You may qualify for sales charge discounts if you and your family invest, or agree to invest in the future, at least $25,000 in the fund complex advised by BlackRock Advisors, LLC (&#8220;BlackRock&#8221;). More information about these and other discounts is available from your financial professional and in the &#8220;Details About the Share Classes&#8221; section on page 36 of the Fund&#8217;s prospectus and in the &#8220;Purchase of Shares&#8221; section on page II-58 of the Fund&#8217;s statement of additional information."
Expense Example [Heading],Duration_29Feb2012_28Feb2013S000002250_Member,,,,,<b>Example:</b>
Expense Example Narrative [Text Block],Duration_29Feb2012_28Feb2013S000002250_Member,,,,,"This Example is intended to help you compare the cost of investing in the Fund with the cost of investing in other mutual funds. The Example assumes that you invest $10,000 in the Fund for the time periods indicated and then redeem all of your shares at the end of those periods. The Example also assumes that your investment has a 5% return each year and that the Fund&#8217;s operating expenses remain the same. Although your actual costs may be higher or lower, based on these assumptions your costs would be:"
"Expense Example, No Redemption, By Year, Caption [Text]",Duration_29Feb2012_28Feb2013S000002250_Member,,,,,You would pay the following expenses if you did not redeem your shares:
Portfolio Turnover [Text Block],Duration_29Feb2012_28Feb2013S000002250_Member,,,,,"Emerging Markets Fund pays transaction costs, such as commissions, when it buys and sells securities (or &#8220;turns over&#8221; its portfolio). A higher portfolio turnover rate may indicate higher transaction costs and may result in higher taxes when shares are held in a taxable account. These costs, which are not reflected in annual fund operating expenses or in the example, affect the Fund&#8217;s performance. During the most recent fiscal year, the Fund&#8217;s portfolio turnover rate was 155% of the average value of its portfolio."
Strategy [Heading],Duration_29Feb2012_28Feb2013S000002250_Member,,,,,<b>Principal Investment Strategies of the Fund </b>
Risk/Return [Heading],Duration_29Feb2012_28Feb2013S000002250_Member,,,,,"Fund Overview<br/><br/><b>Key Facts About BlackRock Emerging Markets Fund, Inc. </b>"
Shareholder Fees Caption [Text],Duration_29Feb2012_28Feb2013S000002250_Member,,,,,<b>Shareholder Fees <br/>(fees paid directly from your investment) </b>
Operating Expenses Caption [Text],Duration_29Feb2012_28Feb2013S000002250_Member,,,,,<b>Annual Fund Operating Expenses<br>(expenses that you pay each year as a<br>percentage of the value of your investment)</b>
Strategy Narrative [Text Block],Duration_29Feb2012_28Feb2013S000002250_Member,,,,,"Under normal conditions, Emerging Markets Fund invests at least 80% of its total assets in equity securities of issuers located in countries with developing capital markets. Equity securities consist primarily of common and preferred stocks and depositary receipts, and include securities convertible into common stock, and securities or other instruments whose price is linked to the value of common stock. A developing capital market is the market of any country that the World Bank, the International Finance Corporation, the United Nations or its authorities have determined to have a low or middle income economy. Countries with developing capital markets can be found in regions such as Asia, Latin America, Eastern Europe and Africa. For this purpose, developing capital markets include, but are not limited to, the markets of all countries that comprise the MSCI Emerging Markets Index. The Fund may also consider an issuer to be located in a country that has a developing capital market if at least 50% of the issuer&#8217;s assets, gross revenues or profits in any one of the last two years represents assets or activities located in such countries.<br/><br/>The Fund may also invest in fixed income securities issued by companies and governments in these countries, as well as mezzanine investments. The Fund normally invests in at least three countries at any given time. The Fund can invest in securities denominated in either U.S. dollars or foreign currencies. Fund management anticipates that under most circumstances the Fund&#8217;s investments will primarily be denominated in foreign currencies. The Fund has not established any rating or maturity criteria for the debt securities in which it may invest. From time to time the Fund may invest in shares of companies through initial public offerings.<br/><br/>Fund management may, when consistent with the Fund&#8217;s investment objective, buy or sell options or futures on a security or an index of securities, or enter into interest rate or foreign currency transactions, including swaps (collectively, commonly known as derivatives). The Fund&#8217;s exposure to certain markets may be effected through investments in participation notes or other structured or derivative instruments that are designed to replicate, or otherwise provide exposure to, the performance of securities listed in such markets.<br/><br/>The Fund is classified as non-diversified under the Investment Company Act of 1940, as amended, which means that it can invest more of its assets in fewer companies than a diversified fund."
Risk [Heading],Duration_29Feb2012_28Feb2013S000002250_Member,,,,,<b>Principal Risks of Investing in the Fund </b>
Bar Chart and Performance Table [Heading],Duration_29Feb2012_28Feb2013S000002250_Member,,,,,<b>Performance Information </b>
Performance Narrative [Text Block],Duration_29Feb2012_28Feb2013S000002250_Member,,,,,"The information shows you how Emerging Markets Fund&#8217;s performance has varied year by year and provides some indication of the risks of investing in the Fund. The table compares the Fund&#8217;s performance to that of the MSCI Emerging Markets Index. As with all such investments, past performance (before and after taxes) is not an indication of future results. Sales charges are not reflected in the bar chart. If they were, returns would be less than those shown. However, the table includes all applicable fees and sales charges. If BlackRock and its affiliates had not waived or reimbursed certain Fund expenses during these periods, the Fund&#8217;s returns would have been lower. Updated information on the Fund&#8217;s results can be obtained by visiting http://www.blackrock.com/funds or can be obtained by phone at (800) 882-0052."
Bar Chart [Heading],Duration_29Feb2012_28Feb2013S000002250_Member,,,,,<b>Investor A Shares<br/>ANNUAL TOTAL RETURNS<br/>Emerging Markets Fund<br/>As of 12/31</b>
Performance Table Heading,Duration_29Feb2012_28Feb2013S000002250_Member,,,,,<b>As of 12/31/12<br/>Average Annual Total Returns</b>
Bar Chart Closing [Text Block],Duration_29Feb2012_28Feb2013S000002250_Member,,,,,"During the ten-year period shown in the bar chart, the highest return for a quarter was 39.73% (quarter ended June 30, 2009) and the lowest return for a quarter was &#8211;28.14% (quarter ended September 30, 2008)."
Performance Table Narrative,Duration_29Feb2012_28Feb2013S000002250_Member,,,,,"After-tax returns are calculated using the historical highest individual Federal marginal income tax rates and do not reflect the impact of state and local taxes. Actual after-tax returns depend on the investor&#8217;s tax situation and may differ from those shown, and the after-tax returns shown are not relevant to investors who hold their shares through tax-deferred arrangements such as 401(k) plans or individual retirement accounts. After-tax returns are shown for Investor A Shares only, and the after-tax returns for Investor B, Investor C and Institutional Shares will vary.<!-- agabop mode=""frill"" last-style=""bartitle"" --><!-- END DIVISION: DIV_01-prospectus PAGE POSITION: 12 -->"
Other Expenses (as a percentage of Assets):,Duration_29Feb2012_28Feb2013S000002250_MemberC000005814_Member,pure,4,,,0.0042
Other Expenses (as a percentage of Assets):,Duration_29Feb2012_28Feb2013S000002250_MemberC000005815_Member,pure,4,,,0.0066
Other Expenses (as a percentage of Assets):,Duration_29Feb2012_28Feb2013S000002250_MemberC000005816_Member,pure,4,,,0.0056
Other Expenses (as a percentage of Assets):,Duration_29Feb2012_28Feb2013S000002250_MemberC000005817_Member,pure,4,,,0.0033
Expenses (as a percentage of Assets),Duration_29Feb2012_28Feb2013S000002250_MemberC000005814_Member,pure,4,,,0.0168
Expenses (as a percentage of Assets),Duration_29Feb2012_28Feb2013S000002250_MemberC000005815_Member,pure,4,,,0.0267
Expenses (as a percentage of Assets),Duration_29Feb2012_28Feb2013S000002250_MemberC000005816_Member,pure,4,,,0.0257
Expenses (as a percentage of Assets),Duration_29Feb2012_28Feb2013S000002250_MemberC000005817_Member,pure,4,,,0.0134
"Expense Example, with Redemption, 1 Year",Duration_29Feb2012_28Feb2013S000002250_MemberC000005814_Member,USD,INF,,,687
"Expense Example, with Redemption, 1 Year",Duration_29Feb2012_28Feb2013S000002250_MemberC000005815_Member,USD,INF,,,720
"Expense Example, with Redemption, 1 Year",Duration_29Feb2012_28Feb2013S000002250_MemberC000005816_Member,USD,INF,,,360
"Expense Example, with Redemption, 1 Year",Duration_29Feb2012_28Feb2013S000002250_MemberC000005817_Member,USD,INF,,,136
"Expense Example, with Redemption, 3 Years",Duration_29Feb2012_28Feb2013S000002250_MemberC000005814_Member,USD,INF,,,"1,027"
"Expense Example, with Redemption, 3 Years",Duration_29Feb2012_28Feb2013S000002250_MemberC000005815_Member,USD,INF,,,"1,179"
"Expense Example, with Redemption, 3 Years",Duration_29Feb2012_28Feb2013S000002250_MemberC000005816_Member,USD,INF,,,799
"Expense Example, with Redemption, 3 Years",Duration_29Feb2012_28Feb2013S000002250_MemberC000005817_Member,USD,INF,,,425
"Expense Example, with Redemption, 5 Years",Duration_29Feb2012_28Feb2013S000002250_MemberC000005814_Member,USD,INF,,,"1,390"
"Expense Example, with Redemption, 5 Years",Duration_29Feb2012_28Feb2013S000002250_MemberC000005815_Member,USD,INF,,,"1,615"
"Expense Example, with Redemption, 5 Years",Duration_29Feb2012_28Feb2013S000002250_MemberC000005816_Member,USD,INF,,,"1,365"
"Expense Example, with Redemption, 5 Years",Duration_29Feb2012_28Feb2013S000002250_MemberC000005817_Member,USD,INF,,,734
"Expense Example, with Redemption, 10 Years",Duration_29Feb2012_28Feb2013S000002250_MemberC000005814_Member,USD,INF,,,"2,408"
"Expense Example, with Redemption, 10 Years",Duration_29Feb2012_28Feb2013S000002250_MemberC000005815_Member,USD,INF,,,"2,763"
"Expense Example, with Redemption, 10 Years",Duration_29Feb2012_28Feb2013S000002250_MemberC000005816_Member,USD,INF,,,"2,905"
"Expense Example, with Redemption, 10 Years",Duration_29Feb2012_28Feb2013S000002250_MemberC000005817_Member,USD,INF,,,"1,613"
