Label,contextRef,unitRef,Dec,Prec,Lang,Value
Document Period End Date,Duration_29Jan2012_28Jan2013,,,,,2012-09-30
Prospectus Date,Duration_29Jan2012_28Jan2013,,,,,2013-01-28
Document Type,Duration_29Jan2012_28Jan2013,,,,,485BPOS
Registrant Name,Duration_29Jan2012_28Jan2013,,,,,BLACKROCK FUNDS
Central Index Key,Duration_29Jan2012_28Jan2013,,,,,0000844779
Amendment Flag,Duration_29Jan2012_28Jan2013,,,,,false
Document Effective Date,Duration_29Jan2012_28Jan2013,,,,,2013-01-28
Document Creation Date,Duration_29Jan2012_28Jan2013,,,,,2013-01-28
Management Fees (as a percentage of Assets),Duration_29Jan2012_28Jan2013S000001871_MemberC000004884_MemberServiceShares_Member,pure,4,,,0.0080
Distribution and Service (12b-1) Fees,Duration_29Jan2012_28Jan2013S000001871_MemberC000004884_MemberServiceShares_Member,pure,4,,,0.0025
Other Expenses (as a percentage of Assets):,Duration_29Jan2012_28Jan2013S000001871_MemberC000004884_MemberServiceShares_Member,pure,4,,,0.0090
Component1 Other Expenses,Duration_29Jan2012_28Jan2013S000001871_MemberC000004884_MemberServiceShares_Member,pure,4,,,0.0090
Component2 Other Expenses,Duration_29Jan2012_28Jan2013S000001871_MemberC000004884_MemberServiceShares_Member,pure,,,,(nil)
Expenses (as a percentage of Assets),Duration_29Jan2012_28Jan2013S000001871_MemberC000004884_MemberServiceShares_Member,pure,4,,,0.0195
Fee Waiver or Reimbursement,Duration_29Jan2012_28Jan2013S000001871_MemberC000004884_MemberServiceShares_Member,pure,4,,,-0.0066
Net Expenses (as a percentage of Assets),Duration_29Jan2012_28Jan2013S000001871_MemberC000004884_MemberServiceShares_Member,pure,4,,,0.0129
"Expense Example, with Redemption, 1 Year",Duration_29Jan2012_28Jan2013S000001871_MemberC000004884_MemberServiceShares_Member,USD,INF,,,131
"Expense Example, with Redemption, 3 Years",Duration_29Jan2012_28Jan2013S000001871_MemberC000004884_MemberServiceShares_Member,USD,INF,,,548
"Expense Example, with Redemption, 5 Years",Duration_29Jan2012_28Jan2013S000001871_MemberC000004884_MemberServiceShares_Member,USD,INF,,,991
"Expense Example, with Redemption, 10 Years",Duration_29Jan2012_28Jan2013S000001871_MemberC000004884_MemberServiceShares_Member,USD,INF,,,"2,222"
Annual Return 2003,Duration_29Jan2012_28Jan2013S000001871_MemberC000004884_MemberServiceShares_Member,pure,4,,,0.3457
Annual Return 2004,Duration_29Jan2012_28Jan2013S000001871_MemberC000004884_MemberServiceShares_Member,pure,4,,,0.2330
Annual Return 2005,Duration_29Jan2012_28Jan2013S000001871_MemberC000004884_MemberServiceShares_Member,pure,4,,,0.1000
Annual Return 2006,Duration_29Jan2012_28Jan2013S000001871_MemberC000004884_MemberServiceShares_Member,pure,4,,,0.1957
Annual Return 2007,Duration_29Jan2012_28Jan2013S000001871_MemberC000004884_MemberServiceShares_Member,pure,4,,,0.0450
Annual Return 2008,Duration_29Jan2012_28Jan2013S000001871_MemberC000004884_MemberServiceShares_Member,pure,4,,,-0.3868
Annual Return 2009,Duration_29Jan2012_28Jan2013S000001871_MemberC000004884_MemberServiceShares_Member,pure,4,,,0.3371
Annual Return 2010,Duration_29Jan2012_28Jan2013S000001871_MemberC000004884_MemberServiceShares_Member,pure,4,,,0.2060
Annual Return 2011,Duration_29Jan2012_28Jan2013S000001871_MemberC000004884_MemberServiceShares_Member,pure,4,,,-0.0558
Annual Return 2012,Duration_29Jan2012_28Jan2013S000001871_MemberC000004884_MemberServiceShares_Member,pure,4,,,0.1093
Risk/Return [Heading],Duration_29Jan2012_28Jan2013S000001871_MemberInvestorAndInstituionalShares_Member,,,,,Fund Overview
Objective [Heading],Duration_29Jan2012_28Jan2013S000001871_MemberInvestorAndInstituionalShares_Member,,,,,<b>Investment Objective </b>
"Objective, Primary [Text Block]",Duration_29Jan2012_28Jan2013S000001871_MemberInvestorAndInstituionalShares_Member,,,,,"The investment objective of BlackRock Flexible Equity Fund (&#8220;Flexible Equity Fund&#8221; or the &#8220;Fund&#8221;), a series of BlackRock Funds<sup>SM</sup> (the &#8220;Trust&#8221;), is to seek to achieve long-term total return."
Expense [Heading],Duration_29Jan2012_28Jan2013S000001871_MemberInvestorAndInstituionalShares_Member,,,,,<b>Fees and Expenses of the Fund </b>
Expense Narrative [Text Block],Duration_29Jan2012_28Jan2013S000001871_MemberInvestorAndInstituionalShares_Member,,,,,"This table describes the fees and expenses that you may pay if you buy and hold shares of Flexible Equity Fund. You may qualify for sales charge discounts if you and your family invest, or agree to invest in the future, at least $25,000 in the fund complex advised by BlackRock Advisors, LLC (&#8220;BlackRock&#8221;) or its affiliates. More information about these and other discounts is available from your financial professional and in the &#8220;Details About the Share Classes&#8221; section on page 22 of the Fund&#8217;s prospectus and in the &#8220;Purchase of Shares&#8221; section on page II-58 of the Fund&#8217;s statement of additional information."
Shareholder Fees Caption [Text],Duration_29Jan2012_28Jan2013S000001871_MemberInvestorAndInstituionalShares_Member,,,,,<b>Shareholder Fees<br/>(fees paid directly from your investment)</b>
1 Year,Duration_29Jan2012_28Jan2013S000001871_MemberC000004884_MemberServiceShares_Member,pure,4,,,0.1093
1 Year,Duration_29Jan2012_28Jan2013AfterTaxesOnDistributions_MemberS000001871_MemberC000004884_MemberServiceShares_Member,pure,4,,,0.1083
1 Year,Duration_29Jan2012_28Jan2013AfterTaxesOnDistributionsAndSales_MemberS000001871_MemberC000004884_MemberServiceShares_Member,pure,4,,,0.0723
1 Year,Duration_29Jan2012_28Jan2013S000001871_MemberServiceShares_MemberSandpFiveHundredIndex_Member,pure,4,,,0.1600
1 Year,Duration_29Jan2012_28Jan2013S000001871_MemberServiceShares_MemberRussellMidcapValueIndex_Member,pure,4,,,0.1851
5 Years,Duration_29Jan2012_28Jan2013S000001871_MemberC000004884_MemberServiceShares_Member,pure,4,,,0.0071
5 Years,Duration_29Jan2012_28Jan2013AfterTaxesOnDistributions_MemberS000001871_MemberC000004884_MemberServiceShares_Member,pure,4,,,0.0061
5 Years,Duration_29Jan2012_28Jan2013AfterTaxesOnDistributionsAndSales_MemberS000001871_MemberC000004884_MemberServiceShares_Member,pure,4,,,0.0058
5 Years,Duration_29Jan2012_28Jan2013S000001871_MemberServiceShares_MemberSandpFiveHundredIndex_Member,pure,4,,,0.0166
5 Years,Duration_29Jan2012_28Jan2013S000001871_MemberServiceShares_MemberRussellMidcapValueIndex_Member,pure,4,,,0.0379
Operating Expenses Caption [Text],Duration_29Jan2012_28Jan2013S000001871_MemberInvestorAndInstituionalShares_Member,,,,,<b>Annual Fund Operating Expenses<br/>(expenses that you pay each year as a<br/>percentage of the value of your investment)</b>
10 Years,Duration_29Jan2012_28Jan2013S000001871_MemberC000004884_MemberServiceShares_Member,pure,4,,,0.0898
10 Years,Duration_29Jan2012_28Jan2013AfterTaxesOnDistributions_MemberS000001871_MemberC000004884_MemberServiceShares_Member,pure,4,,,0.0776
10 Years,Duration_29Jan2012_28Jan2013AfterTaxesOnDistributionsAndSales_MemberS000001871_MemberC000004884_MemberServiceShares_Member,pure,4,,,0.0741
10 Years,Duration_29Jan2012_28Jan2013S000001871_MemberServiceShares_MemberSandpFiveHundredIndex_Member,pure,4,,,0.0710
10 Years,Duration_29Jan2012_28Jan2013S000001871_MemberServiceShares_MemberRussellMidcapValueIndex_Member,pure,4,,,0.1063
Expense Example [Heading],Duration_29Jan2012_28Jan2013S000001871_MemberInvestorAndInstituionalShares_Member,,,,,<b>Example:</b>
Expense Example Narrative [Text Block],Duration_29Jan2012_28Jan2013S000001871_MemberInvestorAndInstituionalShares_Member,,,,,"This Example is intended to help you compare the cost of investing in the Fund with the cost of investing in other mutual funds. The Example assumes that you invest $10,000 in the Fund for the time periods indicated and then redeem all of your shares at the end of those periods. The Example also assumes that your investment has a 5% return each year and that the Fund&#8217;s operating expenses remain the same. Although your actual costs may be higher or lower, based on these assumptions your costs would be:"
"Expense Example, No Redemption, By Year, Caption [Text]",Duration_29Jan2012_28Jan2013S000001871_MemberInvestorAndInstituionalShares_Member,,,,,You would pay the following expenses if you did not redeem your shares:
Portfolio Turnover [Heading],Duration_29Jan2012_28Jan2013S000001871_MemberInvestorAndInstituionalShares_Member,,,,,<b>Portfolio Turnover:</b>
Portfolio Turnover [Text Block],Duration_29Jan2012_28Jan2013S000001871_MemberInvestorAndInstituionalShares_Member,,,,,"The Fund pays transaction costs, such as commissions, when it buys and sells securities (or &#8220;turns over&#8221; its portfolio). A higher portfolio turnover may indicate higher transaction costs and may result in higher taxes when shares are held in a taxable account. These costs, which are not reflected in annual fund operating expenses or in the example, affect the Fund&#8217;s performance. During the most recent fiscal year, the Fund&#8217;s portfolio turnover rate was 156% of the average value of its portfolio."
Strategy [Heading],Duration_29Jan2012_28Jan2013S000001871_MemberInvestorAndInstituionalShares_Member,,,,,<b>Principal Investment Strategies of the Fund </b>
Objective [Heading],Duration_29Jan2012_28Jan2013S000001871_MemberServiceShares_Member,,,,,"<b><a name=""e48735_2toc1""></a>Investment Objective </b>"
Expense [Heading],Duration_29Jan2012_28Jan2013S000001871_MemberServiceShares_Member,,,,,"<b><a name=""e48735_2toc2""></a>Fees and Expenses of the Fund </b>"
Strategy Narrative [Text Block],Duration_29Jan2012_28Jan2013S000001871_MemberInvestorAndInstituionalShares_Member,,,,,"Under normal circumstances, Flexible Equity Fund invests at least 80% of its net assets (plus any borrowings for investment purposes) in equity securities and equity-like securities and instruments with similar economic characteristics. The Fund seeks to invest primarily in securities issued by North American companies. The Fund may invest in companies of any capitalization size, style or sector. Equity securities consist primarily of common stock, preferred stock, securities convertible into common stock and securities or other instruments whose price is linked to the value of common stock.<br /><br /> The Fund may also invest in equity securities of foreign issuers, including securities of companies in emerging market countries. The Fund may invest directly in foreign securities or indirectly through depositary receipts and similar instruments.<br /><br /> The Fund may invest in derivatives, including but not limited to, total return and credit default swaps, options, futures, options on futures and swaps, and foreign exchange transactions, for hedging purposes, as well as to enhance the return on its portfolio investments.<br /><br /> The Fund may invest up to 20% of its net assets (plus any borrowings for investment purposes) in fixed income securities when, in the view of the portfolio manager, these securities offer better risk-adjusted return potential than equity securities. The Fund may invest in fixed income securities of any rating, which may include high yield securities (commonly called &#8220;junk bonds&#8221;), and the Fund may invest up to 10% of its net assets in distressed securities that are in default or the issuers of which are in bankruptcy.<br /><br /> The Fund may seek to provide exposure (up to 20% of the Fund&#8217;s total assets) to the investment returns of real assets that trade in the commodity markets through investment in commodity-linked derivative instruments and investment vehicles that exclusively invest in commodities such as exchange traded funds, which are designed to provide exposure to commodity markets without direct investment in physical commodities. The Fund may gain such exposure to commodity markets by investing up to 20% of its total assets in BlackRock Flexible Equity Fund Subsidiary, Ltd. (the &#8220;Subsidiary&#8221;), a wholly owned subsidiary of the Fund formed in the Cayman Islands, which invests primarily in commodity-related instruments.<br /><br /> In order to seek to mitigate risk or lower overall volatility, the Fund may invest up to 20% of its net assets in cash or cash equivalents."
Risk [Heading],Duration_29Jan2012_28Jan2013S000001871_MemberInvestorAndInstituionalShares_Member,,,,,<b> Principal Risks of Investing in the Fund</b>
Expense Example [Heading],Duration_29Jan2012_28Jan2013S000001871_MemberServiceShares_Member,,,,,<b>Example:</b>
Portfolio Turnover [Heading],Duration_29Jan2012_28Jan2013S000001871_MemberServiceShares_Member,,,,,<b>Portfolio Turnover:</b>
Risk [Heading],Duration_29Jan2012_28Jan2013S000001871_MemberServiceShares_Member,,,,,"<b><a name=""e48735_2toc4""></a>Principal Risks of Investing in the Fund </b>"
"Objective, Primary [Text Block]",Duration_29Jan2012_28Jan2013S000001871_MemberServiceShares_Member,,,,,"The investment objective of BlackRock Flexible Equity Fund (&#8220;Flexible Equity Fund&#8221; or the &#8220;Fund&#8221;), a series of BlackRock Funds<sup>SM</sup> (the &#8220;Trust&#8221;), is to seek to achieve long-term total return."
Expense Narrative [Text Block],Duration_29Jan2012_28Jan2013S000001871_MemberServiceShares_Member,,,,,This table describes the fees and expenses that you may pay if you buy and hold Service Shares of Flexible Equity Fund.
Expense Example Narrative [Text Block],Duration_29Jan2012_28Jan2013S000001871_MemberServiceShares_Member,,,,,"This Example is intended to help you compare the cost of investing in the Fund with the cost of investing in other mutual funds. The Example assumes that you invest $10,000 in the Fund for the time periods indicated and then redeem all of your shares at the end of those periods. The Example also assumes that your investment has a 5% return each year and that the Fund&#8217;s operating expenses remain the same. Although your actual costs may be higher or lower, based on these assumptions your costs would be:"
