Label,contextRef,unitRef,Dec,Prec,Lang,Value
Shareholder Fees [Table],Duration_29Dec2011_28Dec2012S000002344_Member,,,,,"<div style=""display:none"">~ http://www.blackrock.com/role/ScheduleShareholderFeesBLACKROCKFOCUSGROWTHFUND,INC. column period compact * ~</div>"
Annual Fund Operating Expenses [Table],Duration_29Dec2011_28Dec2012S000002344_Member,,,,,"<div style=""display:none"">~ http://www.blackrock.com/role/ScheduleAnnualFundOperatingExpensesBLACKROCKFOCUSGROWTHFUND,INC. column period compact * ~</div>"
"Expense Example, With Redemption [Table]",Duration_29Dec2011_28Dec2012S000002344_Member,,,,,"<div style=""display:none"">~ http://www.blackrock.com/role/ScheduleExpenseExampleTransposedBLACKROCKFOCUSGROWTHFUND,INC. column period compact * ~</div>"
"Expense Example, No Redemption [Table]",Duration_29Dec2011_28Dec2012S000002344_Member,,,,,"<div style=""display:none"">~ http://www.blackrock.com/role/ScheduleExpenseExampleNoRedemptionTransposedBLACKROCKFOCUSGROWTHFUND,INC. column period compact * ~</div>"
Performance [Table],Duration_29Dec2011_28Dec2012S000002344_Member,,,,,"<div style=""display:none"">~ http://www.blackrock.com/role/ScheduleAverageAnnualTotalReturnsTransposedBLACKROCKFOCUSGROWTHFUND,INC. column period compact * ~</div>"
Prospectus Date,Duration_29Dec2011_28Dec2012,,,,,2012-12-28
Document Type,Duration_29Dec2011_28Dec2012,,,,,485BPOS
Registrant Name,Duration_29Dec2011_28Dec2012,,,,,"BLACKROCK FOCUS GROWTH FUND, INC."
Central Index Key,Duration_29Dec2011_28Dec2012,,,,,0001097293
Document Creation Date,Duration_29Dec2011_28Dec2012,,,,,2012-12-28
Document Effective Date,Duration_29Dec2011_28Dec2012,,,,,2012-12-28
Amendment Flag,Duration_29Dec2011_28Dec2012,,,,,false
Document Period End Date,Duration_29Dec2011_28Dec2012,,,,,2012-08-31
Risk/Return [Heading],Duration_29Dec2011_28Dec2012S000002344_Member,,,,,"Fund Overview<br/><b>Key Facts about BlackRock Focus Growth Fund, Inc.</b>"
Objective [Heading],Duration_29Dec2011_28Dec2012S000002344_Member,,,,,<b>Investment Objective</b>
Expense [Heading],Duration_29Dec2011_28Dec2012S000002344_Member,,,,,<b>Fees and Expenses of the Fund</b>
Shareholder Fees Caption [Text],Duration_29Dec2011_28Dec2012S000002344_Member,,,,,<b>Shareholder Fees<br/>(fees paid directly from your investment)</b>
Operating Expenses Caption [Text],Duration_29Dec2011_28Dec2012S000002344_Member,,,,,<b>Annual Fund Operating Expenses<br/>(expenses that you pay each year as a<br/>percentage of the value of your investment)</b>
Expense Example [Heading],Duration_29Dec2011_28Dec2012S000002344_Member,,,,,<b>Example:</b>
Portfolio Turnover [Heading],Duration_29Dec2011_28Dec2012S000002344_Member,,,,,<b>Portfolio Turnover:</b>
Risk [Heading],Duration_29Dec2011_28Dec2012S000002344_Member,,,,,<b>Principal Risks of Investing in the Fund</b>
Strategy [Heading],Duration_29Dec2011_28Dec2012S000002344_Member,,,,,<b>Principal Investment Strategies of the Fund</b>
Bar Chart and Performance Table [Heading],Duration_29Dec2011_28Dec2012S000002344_Member,,,,,<b>Performance Information</b>
Bar Chart [Heading],Duration_29Dec2011_28Dec2012S000002344_Member,,,,,"<b>Investor A Shares<br/>ANNUAL TOTAL RETURNS<br/>BlackRock Focus Growth Fund, Inc.<br/>As of 12/31</b>"
Performance Table Heading,Duration_29Dec2011_28Dec2012S000002344_Member,,,,,<b>As of 12/31/11<br/>Average Annual Total Returns</b>
"Objective, Primary [Text Block]",Duration_29Dec2011_28Dec2012S000002344_Member,,,,,"The investment objective of the BlackRock Focus Growth Fund, Inc. (the &#8220;Fund&#8221;) is long-term capital appreciation."
Expense Narrative [Text Block],Duration_29Dec2011_28Dec2012S000002344_Member,,,,,"This table describes the fees and expenses that you may pay if you buy and hold shares of the Fund. You may qualify for sales charge discounts if you and your family invest, or agree to invest in the future, at least $25,000 in the BlackRock-advised fund complex. More information about these and other discounts is available from your financial professional and in the &#8220;Details about the Share Classes&#8221; section on page 17 of the Fund&#8217;s prospectus and in the &#8220;Purchase of Shares&#8221; section on page II-58 of the Fund&#8217;s statement of additional information."
Expense Breakpoint Discounts [Text],Duration_29Dec2011_28Dec2012S000002344_Member,,,,,"You may qualify for sales charge discounts if you and your family invest, or agree to invest in the future, at least $25,000 in the BlackRock-advised fund complex."
"Expense Breakpoint, Minimum Investment Required [Amount]",Duration_29Dec2011_28Dec2012S000002344_Member,USD,INF,,,"25,000"
Maximum Sales Charge Imposed on Purchases (as a percentage of Offering Price),Duration_29Dec2011_28Dec2012S000002344_MemberC000006151_Member,pure,4,,,0.0525
Maximum Sales Charge Imposed on Purchases (as a percentage of Offering Price),Duration_29Dec2011_28Dec2012S000002344_MemberC000006152_Member,pure,4,,,0.0000
Maximum Sales Charge Imposed on Purchases (as a percentage of Offering Price),Duration_29Dec2011_28Dec2012S000002344_MemberC000006153_Member,pure,4,,,0.0000
Maximum Sales Charge Imposed on Purchases (as a percentage of Offering Price),Duration_29Dec2011_28Dec2012S000002344_MemberC000006154_Member,pure,4,,,0.0000
Maximum Deferred Sales Charge (as a percentage of Offering Price),Duration_29Dec2011_28Dec2012S000002344_MemberC000006154_Member,pure,4,,,0.0000
Maximum Deferred Sales Charge (as a percentage of Offering Price),Duration_29Dec2011_28Dec2012S000002344_MemberC000006151_Member,pure,4,,,0.0000
Maximum Deferred Sales Charge (as a percentage of Offering Price),Duration_29Dec2011_28Dec2012S000002344_MemberC000006152_Member,pure,4,,,0.0450
Maximum Deferred Sales Charge (as a percentage of Offering Price),Duration_29Dec2011_28Dec2012S000002344_MemberC000006153_Member,pure,4,,,0.0100
Management Fees (as a percentage of Assets),Duration_29Dec2011_28Dec2012S000002344_MemberC000006151_Member,pure,4,,,0.0060
Management Fees (as a percentage of Assets),Duration_29Dec2011_28Dec2012S000002344_MemberC000006152_Member,pure,4,,,0.0060
Management Fees (as a percentage of Assets),Duration_29Dec2011_28Dec2012S000002344_MemberC000006153_Member,pure,4,,,0.0060
Management Fees (as a percentage of Assets),Duration_29Dec2011_28Dec2012S000002344_MemberC000006154_Member,pure,4,,,0.0060
Distribution and Service (12b-1) Fees,Duration_29Dec2011_28Dec2012S000002344_MemberC000006151_Member,pure,4,,,0.0025
Distribution and Service (12b-1) Fees,Duration_29Dec2011_28Dec2012S000002344_MemberC000006152_Member,pure,4,,,0.0100
Distribution and Service (12b-1) Fees,Duration_29Dec2011_28Dec2012S000002344_MemberC000006154_Member,pure,4,,,0.0000
Distribution and Service (12b-1) Fees,Duration_29Dec2011_28Dec2012S000002344_MemberC000006153_Member,pure,4,,,0.0100
Other Expenses (as a percentage of Assets):,Duration_29Dec2011_28Dec2012S000002344_MemberC000006151_Member,pure,4,,,0.0100
Other Expenses (as a percentage of Assets):,Duration_29Dec2011_28Dec2012S000002344_MemberC000006152_Member,pure,4,,,0.0097
Other Expenses (as a percentage of Assets):,Duration_29Dec2011_28Dec2012S000002344_MemberC000006153_Member,pure,4,,,0.0100
Other Expenses (as a percentage of Assets):,Duration_29Dec2011_28Dec2012S000002344_MemberC000006154_Member,pure,4,,,0.0082
Component1 Other Expenses,Duration_29Dec2011_28Dec2012S000002344_MemberC000006151_Member,pure,4,,,0.0025
Component1 Other Expenses,Duration_29Dec2011_28Dec2012S000002344_MemberC000006152_Member,pure,4,,,0.0025
Component1 Other Expenses,Duration_29Dec2011_28Dec2012S000002344_MemberC000006153_Member,pure,4,,,0.0025
Component1 Other Expenses,Duration_29Dec2011_28Dec2012S000002344_MemberC000006154_Member,pure,4,,,0.0025
Component2 Other Expenses,Duration_29Dec2011_28Dec2012S000002344_MemberC000006151_Member,pure,4,,,0.0075
Component2 Other Expenses,Duration_29Dec2011_28Dec2012S000002344_MemberC000006152_Member,pure,4,,,0.0072
Component2 Other Expenses,Duration_29Dec2011_28Dec2012S000002344_MemberC000006154_Member,pure,4,,,0.0057
Component2 Other Expenses,Duration_29Dec2011_28Dec2012S000002344_MemberC000006153_Member,pure,4,,,0.0075
Expenses (as a percentage of Assets),Duration_29Dec2011_28Dec2012S000002344_MemberC000006151_Member,pure,4,,,0.0185
Expenses (as a percentage of Assets),Duration_29Dec2011_28Dec2012S000002344_MemberC000006152_Member,pure,4,,,0.0257
Expenses (as a percentage of Assets),Duration_29Dec2011_28Dec2012S000002344_MemberC000006154_Member,pure,4,,,0.0142
Expenses (as a percentage of Assets),Duration_29Dec2011_28Dec2012S000002344_MemberC000006153_Member,pure,4,,,0.0260
Fee Waiver or Reimbursement,Duration_29Dec2011_28Dec2012S000002344_MemberC000006151_Member,pure,4,,,-0.0020
Fee Waiver or Reimbursement,Duration_29Dec2011_28Dec2012S000002344_MemberC000006152_Member,pure,4,,,-0.0020
Fee Waiver or Reimbursement,Duration_29Dec2011_28Dec2012S000002344_MemberC000006153_Member,pure,4,,,-0.0020
Fee Waiver or Reimbursement,Duration_29Dec2011_28Dec2012S000002344_MemberC000006154_Member,pure,4,,,-0.0020
Net Expenses (as a percentage of Assets),Duration_29Dec2011_28Dec2012S000002344_MemberC000006151_Member,pure,4,,,0.0165
Net Expenses (as a percentage of Assets),Duration_29Dec2011_28Dec2012S000002344_MemberC000006152_Member,pure,4,,,0.0237
Net Expenses (as a percentage of Assets),Duration_29Dec2011_28Dec2012S000002344_MemberC000006153_Member,pure,4,,,0.0240
Net Expenses (as a percentage of Assets),Duration_29Dec2011_28Dec2012S000002344_MemberC000006154_Member,pure,4,,,0.0122
"Fee Waiver or Reimbursement over Assets, Date of Termination",Duration_29Dec2011_28Dec2012S000002344_Member,,,,,"January 1, 2014"
Expense Example Narrative [Text Block],Duration_29Dec2011_28Dec2012S000002344_Member,,,,,"This Example is intended to help you compare the cost of investing in the Fund with the cost of investing in other mutual funds. The Example assumes that you invest $10,000 in the Fund for the time periods indicated and then redeem all of your shares at the end of those periods. The Example also assumes that your investment has a 5% return each year and that the Fund&#8217;s operating expenses remain the same. Although your actual costs may be higher or lower, based on these assumptions your costs would be:"
Portfolio Turnover [Text Block],Duration_29Dec2011_28Dec2012S000002344_Member,,,,,"The Fund pays transaction costs, such as commissions, when it buys and sells securities (or &#8220;turns over&#8221; its portfolio). A higher portfolio turnover may indicate higher transaction costs and may result in higher taxes when shares are held in a taxable account. These costs, which are not reflected in annual fund operating expenses or in the example, affect the Fund&#8217;s performance. During the most recent fiscal year, the Fund&#8217;s portfolio turnover rate was 78% of the average value of its portfolio."
"Portfolio Turnover, Rate",Duration_29Dec2011_28Dec2012S000002344_Member,pure,4,,,0.7800
Strategy Narrative [Text Block],Duration_29Dec2011_28Dec2012S000002344_Member,,,,,"The Fund is a non-diversified, aggressive growth fund that invests primarily in common stock of not less than 25 to approximately 35 companies that Fund management believes have strong earnings and revenue growth and capital appreciation potential (also known as &#8220;aggressive growth companies&#8221;). The Fund will emphasize common stock of companies with mid to large stock market capitalizations; however, the Fund also may invest in the common stock of small companies. The Fund generally invests at least 65% of its total assets in equity securities. Equity securities consist of common stock and American Depositary Receipts (&#8220;ADRs&#8221;) which are receipts typically issued by an American bank or trust company that evidence underlying securities issued by a foreign company. In addition to ADRs, the Fund may also invest up to 20% of its total assets in securities of foreign companies.<br /><br />The Fund is a &#8220;feeder&#8221; fund that invests all of its assets in a &#8220;master&#8221; portfolio, the Master Focus Growth LLC (the &#8220;Master LLC&#8221;), a mutual fund that has the same investment objective and strategies as the Fund. All investments will be made at the Master LLC level. This structure is sometimes called a &#8220;master/feeder&#8221; structure. The Fund&#8217;s investment results will correspond directly to the investment results of the Master LLC. For simplicity, this prospectus uses the term &#8220;Fund&#8221; to include the Master LLC."
"Expense Example, with Redemption, 1 Year",Duration_29Dec2011_28Dec2012S000002344_MemberC000006151_Member,USD,INF,,,684
"Expense Example, with Redemption, 1 Year",Duration_29Dec2011_28Dec2012S000002344_MemberC000006152_Member,USD,INF,,,690
"Expense Example, with Redemption, 1 Year",Duration_29Dec2011_28Dec2012S000002344_MemberC000006153_Member,USD,INF,,,343
