Label,contextRef,unitRef,Dec,Prec,Lang,Value
Prospectus Date,Duration_29Jan2012_28Jan2013,,,,,2013-01-28
Document Type,Duration_29Jan2012_28Jan2013,,,,,485BPOS
Registrant Name,Duration_29Jan2012_28Jan2013,,,,,BlackRock Funds II
Central Index Key,Duration_29Jan2012_28Jan2013,,,,,0001398078
Document Creation Date,Duration_29Jan2012_28Jan2013,,,,,2013-01-28
Document Effective Date,Duration_29Jan2012_28Jan2013,,,,,2013-01-28
Amendment Flag,Duration_29Jan2012_28Jan2013,,,,,false
Document Period End Date,Duration_29Jan2012_28Jan2013,,,,,2012-09-30
Maximum Sales Charge Imposed on Purchases (as a percentage of Offering Price),Duration_29Jan2012_28Jan2013S000018378_MemberC000050815_MemberInvestorAndInstitutional_Member,pure,4,,,0.0400
Maximum Sales Charge Imposed on Purchases (as a percentage of Offering Price),Duration_29Jan2012_28Jan2013S000018378_MemberC000050816_MemberInvestorAndInstitutional_Member,pure,4,,,0.0000
Maximum Sales Charge Imposed on Purchases (as a percentage of Offering Price),Duration_29Jan2012_28Jan2013S000018378_MemberC000050817_MemberInvestorAndInstitutional_Member,pure,4,,,0.0000
Maximum Sales Charge Imposed on Purchases (as a percentage of Offering Price),Duration_29Jan2012_28Jan2013S000018378_MemberC000050814_MemberInvestorAndInstitutional_Member,pure,4,,,0.0000
Maximum Deferred Sales Charge (as a percentage of Offering Price),Duration_29Jan2012_28Jan2013S000018378_MemberC000050815_MemberInvestorAndInstitutional_Member,pure,4,,,0.0000
Maximum Deferred Sales Charge (as a percentage of Offering Price),Duration_29Jan2012_28Jan2013S000018378_MemberC000050816_MemberInvestorAndInstitutional_Member,pure,4,,,0.0450
Maximum Deferred Sales Charge (as a percentage of Offering Price),Duration_29Jan2012_28Jan2013S000018378_MemberC000050817_MemberInvestorAndInstitutional_Member,pure,4,,,0.0100
Maximum Deferred Sales Charge (as a percentage of Offering Price),Duration_29Jan2012_28Jan2013S000018378_MemberC000050814_MemberInvestorAndInstitutional_Member,pure,4,,,0.0000
Management Fees (as a percentage of Assets),Duration_29Jan2012_28Jan2013S000018378_MemberC000050815_MemberInvestorAndInstitutional_Member,pure,4,,,0.0054
Management Fees (as a percentage of Assets),Duration_29Jan2012_28Jan2013S000018378_MemberC000050816_MemberInvestorAndInstitutional_Member,pure,4,,,0.0054
Management Fees (as a percentage of Assets),Duration_29Jan2012_28Jan2013S000018378_MemberC000050817_MemberInvestorAndInstitutional_Member,pure,4,,,0.0054
Management Fees (as a percentage of Assets),Duration_29Jan2012_28Jan2013S000018378_MemberC000050814_MemberInvestorAndInstitutional_Member,pure,4,,,0.0054
Distribution and Service (12b-1) Fees,Duration_29Jan2012_28Jan2013S000018378_MemberC000050815_MemberInvestorAndInstitutional_Member,pure,4,,,0.0025
Distribution and Service (12b-1) Fees,Duration_29Jan2012_28Jan2013S000018378_MemberC000050816_MemberInvestorAndInstitutional_Member,pure,4,,,0.0100
Distribution and Service (12b-1) Fees,Duration_29Jan2012_28Jan2013S000018378_MemberC000050817_MemberInvestorAndInstitutional_Member,pure,4,,,0.0100
Distribution and Service (12b-1) Fees,Duration_29Jan2012_28Jan2013S000018378_MemberC000050814_MemberInvestorAndInstitutional_Member,pure,4,,,0.0000
Other Expenses (as a percentage of Assets):,Duration_29Jan2012_28Jan2013S000018378_MemberC000050815_MemberInvestorAndInstitutional_Member,pure,4,,,0.0027
Other Expenses (as a percentage of Assets):,Duration_29Jan2012_28Jan2013S000018378_MemberC000050816_MemberInvestorAndInstitutional_Member,pure,4,,,0.0034
Other Expenses (as a percentage of Assets):,Duration_29Jan2012_28Jan2013S000018378_MemberC000050817_MemberInvestorAndInstitutional_Member,pure,4,,,0.0028
Other Expenses (as a percentage of Assets):,Duration_29Jan2012_28Jan2013S000018378_MemberC000050814_MemberInvestorAndInstitutional_Member,pure,4,,,0.0028
Total Annual Fund Operating Expenses,Duration_29Jan2012_28Jan2013S000018378_MemberC000050815_MemberInvestorAndInstitutional_Member,pure,4,,,0.0106
Total Annual Fund Operating Expenses,Duration_29Jan2012_28Jan2013S000018378_MemberC000050816_MemberInvestorAndInstitutional_Member,pure,4,,,0.0188
