Label,contextRef,unitRef,Dec,Prec,Lang,Value
Prospectus Date,Duration_29Jan2012_28Jan2013,,,,,2013-01-28
Amendment Flag,Duration_29Jan2012_28Jan2013,,,,,false
Document Creation Date,Duration_29Jan2012_28Jan2013,,,,,2013-01-28
Document Effective Date,Duration_29Jan2012_28Jan2013,,,,,2013-01-28
Central Index Key,Duration_29Jan2012_28Jan2013,,,,,0000844779
Registrant Name,Duration_29Jan2012_28Jan2013,,,,,BLACKROCK FUNDS
Document Type,Duration_29Jan2012_28Jan2013,,,,,485BPOS
Document Period End Date,Duration_29Jan2012_28Jan2013,,,,,2012-09-30
Risk/Return [Heading],Duration_29Jan2012_28Jan2013S000001511_MemberInvestorAndInstitutional_Member,,,,,Fund Overview<br/><br/><b>Key Facts About BlackRock International Opportunities Portfolio</b>
Objective [Heading],Duration_29Jan2012_28Jan2013S000001511_MemberInvestorAndInstitutional_Member,,,,,<b>Investment Objective</b>
"Objective, Primary [Text Block]",Duration_29Jan2012_28Jan2013S000001511_MemberInvestorAndInstitutional_Member,,,,,"The investment objective of BlackRock International Opportunities Portfolio (&#8220;International Opportunities&#8221; or the &#8220;Fund&#8221;), a series of BlackRock Funds<sup>SM</sup> (the &#8220;Trust&#8221;), is to seek long-term capital appreciation."
Expense [Heading],Duration_29Jan2012_28Jan2013S000001511_MemberInvestorAndInstitutional_Member,,,,,<b>Fees and Expenses of the Fund</b>
Expense Narrative [Text Block],Duration_29Jan2012_28Jan2013S000001511_MemberInvestorAndInstitutional_Member,,,,,"This table describes the fees and expenses that you may pay if you buy and hold shares of International Opportunities. You may qualify for sales charge discounts if you and your family invest, or agree to invest in the future, at least $25,000 in the fund complex advised by BlackRock Advisors, LLC (&#8220;BlackRock&#8221;). More information about these and other discounts is available from your financial professional and in the &#8220;Details About the Share Classes&#8221; section on page 47 of the Fund&#8217;s prospectus and in the &#8220;Purchase of Shares&#8221; section on page II-58 of the Fund&#8217;s statement of additional information."
Risk/Return [Heading],Duration_29Jan2012_28Jan2013S000001509_MemberInvestorAndInstitutional_Member,,,,,Fund Overview<br/><br/><b>Key Facts About BlackRock U.S. Opportunities Portfolio</b>
Shareholder Fees Caption [Text],Duration_29Jan2012_28Jan2013S000001511_MemberInvestorAndInstitutional_Member,,,,,<b>Shareholder Fees</b><br/><b>(fees paid directly from your investment)</b>
Objective [Heading],Duration_29Jan2012_28Jan2013S000001509_MemberInvestorAndInstitutional_Member,,,,,<b>Investment Objective</b>
"Objective, Primary [Text Block]",Duration_29Jan2012_28Jan2013S000001509_MemberInvestorAndInstitutional_Member,,,,,"The investment objective of BlackRock U.S. Opportunities Portfolio (&#8220;U.S. Opportunities&#8221; or the &#8220;Fund&#8221;), a series of BlackRock Funds<sup>SM</sup> (the &#8220;Trust&#8221;), is to provide long-term capital appreciation."
Maximum Sales Charge Imposed on Purchases (as a percentage of Offering Price),Duration_29Jan2012_28Jan2013S000008399_MemberC000023030_MemberInvestorInstitutionalAndRShares_Member,pure,4,,,0.0525
Maximum Sales Charge Imposed on Purchases (as a percentage of Offering Price),Duration_29Jan2012_28Jan2013S000008399_MemberC000023031_MemberInvestorInstitutionalAndRShares_Member,pure,4,,,0.0000
Maximum Sales Charge Imposed on Purchases (as a percentage of Offering Price),Duration_29Jan2012_28Jan2013S000008399_MemberC000023032_MemberInvestorInstitutionalAndRShares_Member,pure,4,,,0.0000
Expense [Heading],Duration_29Jan2012_28Jan2013S000001509_MemberInvestorAndInstitutional_Member,,,,,<b>Fees and Expenses of the Fund</b>
Maximum Sales Charge Imposed on Purchases (as a percentage of Offering Price),Duration_29Jan2012_28Jan2013S000008399_MemberC000023028_MemberInvestorInstitutionalAndRShares_Member,pure,4,,,0.0000
Operating Expenses Caption [Text],Duration_29Jan2012_28Jan2013S000001511_MemberInvestorAndInstitutional_Member,,,,,<b>Annual Fund Operating Expenses<br/> (expenses that you pay each year as a<br/> percentage of the value of your investment) </b>
Expense Narrative [Text Block],Duration_29Jan2012_28Jan2013S000001509_MemberInvestorAndInstitutional_Member,,,,,"This table describes the fees and expenses that you may pay if you buy and hold shares of U.S. Opportunities. You may qualify for sales charge discounts if you and your family invest, or agree to invest in the future, at least $25,000 in the fund complex advised by BlackRock Advisors, LLC (&#8220;BlackRock&#8221;). More information about these and other discounts is available from your financial professional and in the &#8220;Details About the Share Classes&#8221; section on page 47 of the Fund&#8217;s prospectus and in the &#8220;Purchase of Shares&#8221; section on page II-58 of the Fund&#8217;s statement of additional information."
Expense Example [Heading],Duration_29Jan2012_28Jan2013S000001511_MemberInvestorAndInstitutional_Member,,,,,<b>Example:</b>
Expense Example Narrative [Text Block],Duration_29Jan2012_28Jan2013S000001511_MemberInvestorAndInstitutional_Member,,,,,"This Example is intended to help you compare the cost of investing in the Fund with the cost of investing in other mutual funds. The Example assumes that you invest $10,000 in the Fund for the time periods indicated and then redeem all of your shares at the end of those periods. The Example also assumes that your investment has a 5% return each year and that the Fund&#8217;s operating expenses remain the same. Although your actual costs may be higher or lower, based on these assumptions your costs would be:"
Shareholder Fees Caption [Text],Duration_29Jan2012_28Jan2013S000001509_MemberInvestorAndInstitutional_Member,,,,,<b>Shareholder Fees</b><br/><b>(fees paid directly from your investment)</b>
"Expense Example, No Redemption, By Year, Caption [Text]",Duration_29Jan2012_28Jan2013S000001511_MemberInvestorAndInstitutional_Member,,,,,You would pay the following expenses if you did not redeem your shares:
Maximum Deferred Sales Charge (as a percentage of Offering Price),Duration_29Jan2012_28Jan2013S000008399_MemberC000023031_MemberInvestorInstitutionalAndRShares_Member,pure,4,,,0.0450
Maximum Deferred Sales Charge (as a percentage of Offering Price),Duration_29Jan2012_28Jan2013S000008399_MemberC000023032_MemberInvestorInstitutionalAndRShares_Member,pure,4,,,0.0100
Maximum Deferred Sales Charge (as a percentage of Offering Price),Duration_29Jan2012_28Jan2013S000008399_MemberC000023028_MemberInvestorInstitutionalAndRShares_Member,pure,4,,,0.0000
Maximum Deferred Sales Charge (as a percentage of Offering Price),Duration_29Jan2012_28Jan2013S000008399_MemberC000023030_MemberInvestorInstitutionalAndRShares_Member,pure,4,,,0.0000
Portfolio Turnover [Heading],Duration_29Jan2012_28Jan2013S000001511_MemberInvestorAndInstitutional_Member,,,,,<b>Portfolio Turnover:</b>
Portfolio Turnover [Text Block],Duration_29Jan2012_28Jan2013S000001511_MemberInvestorAndInstitutional_Member,,,,,"The Fund pays transaction costs, such as commissions, when it buys and sells securities (or &#8220;turns over&#8221; its portfolio). A higher portfolio turnover may indicate higher transaction costs and may result in higher taxes when shares are held in a taxable account. These costs, which are not reflected in annual fund operating expenses or in the example, affect the Fund&#8217;s performance. During the most recent fiscal year, the Fund&#8217;s portfolio turnover rate was 99% of the average value of its portfolio."
Strategy [Heading],Duration_29Jan2012_28Jan2013S000001511_MemberInvestorAndInstitutional_Member,,,,,<b>Principal Investment Strategies of the Fund</b>
Strategy Narrative [Text Block],Duration_29Jan2012_28Jan2013S000001511_MemberInvestorAndInstitutional_Member,,,,,"Under normal market conditions, International Opportunities invests at least 80% of its net assets in equity securities issued by foreign companies of any market capitalization. The Fund may invest up to 40% of its net assets in stocks of issuers in emerging market countries.<br/><br/>The Fund seeks to buy primarily common stock but can also invest in preferred stock and convertible securities. From time to time the Fund may invest in shares of companies through initial public offerings (&#8220;IPOs&#8221;).<br/><br/>The Fund may, when consistent with the Fund&#8217;s investment objective, buy or sell options or futures on a security or an index of securities and may buy options on a currency or a basket of currencies, or enter into foreign currency transactions, including swaps (collectively, commonly known as derivatives). The Fund typically uses derivatives as a substitute for taking a position in the underlying asset and/or as part of a strategy designed to reduce exposure to other risks, such as currency risk. The Fund may also use derivatives to enhance returns, in which case their use would involve leveraging risk. The Fund may seek to obtain market exposure to the securities in which it primarily invests by entering into a series of purchase and sale contracts or by using other investment techniques (such as reverse repurchase agreements or dollar rolls). The Fund may also use forward foreign currency exchange contracts (obligations to buy or sell a currency at a set rate in the future)."
Risk [Heading],Duration_29Jan2012_28Jan2013S000001511_MemberInvestorAndInstitutional_Member,,,,,<b>Principal Risks of Investing in the Fund</b>
Maximum Sales Charge Imposed on Purchases (as a percentage of Offering Price),Duration_29Jan2012_28Jan2013S000001509_MemberC000004059_MemberInvestorAndInstitutional_Member,pure,4,,,0.0525
Maximum Sales Charge Imposed on Purchases (as a percentage of Offering Price),Duration_29Jan2012_28Jan2013S000001509_MemberC000004060_MemberInvestorAndInstitutional_Member,pure,4,,,0.0000
Maximum Sales Charge Imposed on Purchases (as a percentage of Offering Price),Duration_29Jan2012_28Jan2013S000001509_MemberC000004061_MemberInvestorAndInstitutional_Member,pure,4,,,0.0000
Maximum Sales Charge Imposed on Purchases (as a percentage of Offering Price),Duration_29Jan2012_28Jan2013S000001509_MemberC000004057_MemberInvestorAndInstitutional_Member,pure,4,,,0.0000
Maximum Sales Charge Imposed on Purchases (as a percentage of Offering Price),Duration_29Jan2012_28Jan2013S000008399_MemberC000037670_MemberInvestorInstitutionalAndRShares_Member,pure,4,,,0.0000
Maximum Deferred Sales Charge (as a percentage of Offering Price),Duration_29Jan2012_28Jan2013S000008399_MemberC000037670_MemberInvestorInstitutionalAndRShares_Member,pure,4,,,0.0000
Maximum Deferred Sales Charge (as a percentage of Offering Price),Duration_29Jan2012_28Jan2013S000001509_MemberC000004059_MemberInvestorAndInstitutional_Member,pure,4,,,0.0000
Maximum Deferred Sales Charge (as a percentage of Offering Price),Duration_29Jan2012_28Jan2013S000001509_MemberC000004060_MemberInvestorAndInstitutional_Member,pure,4,,,0.0450
Maximum Deferred Sales Charge (as a percentage of Offering Price),Duration_29Jan2012_28Jan2013S000001509_MemberC000004061_MemberInvestorAndInstitutional_Member,pure,4,,,0.0100
Maximum Deferred Sales Charge (as a percentage of Offering Price),Duration_29Jan2012_28Jan2013S000001509_MemberC000004057_MemberInvestorAndInstitutional_Member,pure,4,,,0.0000
Operating Expenses Caption [Text],Duration_29Jan2012_28Jan2013S000001509_MemberInvestorAndInstitutional_Member,,,,,<b>Annual Fund Operating Expenses </b><br/><b>(expenses that you pay each year as a </b><br/><b>percentage of the value of your investment) </b><br /><br />
