Label,contextRef,unitRef,Dec,Prec,Lang,Value
"Expense Example, No Redemption, 5 Years",Duration_27Oct2011_26Oct2012S000002724_MemberC000007430_Member,USD,INF,,,"1,280"
"Expense Example, No Redemption, 5 Years",Duration_27Oct2011_26Oct2012S000002724_MemberC000007431_Member,USD,INF,,,"1,220"
Expense Example [Heading],Duration_27Oct2011_26Oct2012S000002724_Member,,,,,"<font style=""FONT-FAMILY: ARIAL"" size=""2""><b>Example:</b></font>"
"Expense Example, with Redemption, 5 Years",Duration_27Oct2011_26Oct2012S000002724_MemberC000007429_Member,USD,INF,,,"1,266"
"Bar Chart, Year to Date Return, Date",Duration_27Oct2011_26Oct2012S000002724_MemberC000007429_Member,,,,,2012-09-30
Shareholder Fees [Table],Duration_27Oct2011_26Oct2012S000002724_Member,,,,,"<div style=""display:none"">~ http://www.blackrock.com/role/ScheduleShareholderFeesBLACKROCKGLOBALSMALLCAPFUND,INC. column period compact * ~</div>"
"Expense Example, with Redemption, 5 Years",Duration_27Oct2011_26Oct2012S000002724_MemberC000007430_Member,USD,INF,,,"1,480"
"Expense Example, with Redemption, 5 Years",Duration_27Oct2011_26Oct2012S000002724_MemberC000007431_Member,USD,INF,,,"1,220"
"Expense Example, with Redemption, 5 Years",Duration_27Oct2011_26Oct2012S000002724_MemberC000007432_Member,USD,INF,,,622
"Expense Example, with Redemption, 5 Years",Duration_27Oct2011_26Oct2012S000002724_MemberC000007433_Member,USD,INF,,,995
Portfolio Turnover [Text Block],Duration_27Oct2011_26Oct2012S000002724_Member,,,,,"<font style=""FONT-FAMILY: ARIAL"" size=""2"">The Fund pays transaction costs, such as commissions, when it buys and sells securities (or &#147;turns over&#148; its portfolio). A higher portfolio turnover may indicate higher transaction costs and may result in higher taxes when shares are held in a taxable account. These costs, which are not reflected in annual fund operating expenses or in the example, affect the Fund&#146;s performance. During the most recent fiscal year, the Fund&#146;s portfolio turnover rate was 73% of the average value of its portfolio.</font>"
Annual Return 2003,Duration_27Oct2011_26Oct2012S000002724_MemberC000007429_Member,pure,4,,,0.4778
"Bar Chart, Year to Date Return",Duration_27Oct2011_26Oct2012S000002724_MemberC000007429_Member,pure,4,,,0.1280
Performance Availability Website Address [Text],Duration_27Oct2011_26Oct2012S000002724_Member,,,,,"<font style=""FONT-FAMILY: ARIAL"" size=""2""> http://www.blackrock.com/funds</font>"
Risk/Return [Heading],Duration_27Oct2011_26Oct2012S000002724_Member,,,,,"<font style=""FONT-FAMILY: ARIAL"" size=""7"">Fund Overview</font><br/><br/><font style=""FONT-FAMILY: ARIAL"" size=""2""><b>Key Facts about BlackRock Global SmallCap Fund, Inc. </b></font>"
Shareholder Fees Caption [Text],Duration_27Oct2011_26Oct2012S000002724_Member,,,,,"<font style=""FONT-FAMILY: ARIAL"" size=""2""><b>Shareholder Fees</b></font><br/><font style=""FONT-FAMILY: ARIAL"" size=""2""><b>(fees paid directly from your investment)</b></font>"
Operating Expenses Caption [Text],Duration_27Oct2011_26Oct2012S000002724_Member,,,,,"<font style=""FONT-FAMILY: ARIAL"" size=""2""><b>Annual Fund Operating Expenses</b></font><br/><font style=""FONT-FAMILY: ARIAL"" size=""2""><b>(expenses that you pay each year as a percentage of the value<br/> of your investment)</b></font>"
"Expense Example, with Redemption, 1 Year",Duration_27Oct2011_26Oct2012S000002724_MemberC000007429_Member,USD,INF,,,663
"Expense Example, with Redemption, 1 Year",Duration_27Oct2011_26Oct2012S000002724_MemberC000007430_Member,USD,INF,,,693
