Label,contextRef,unitRef,Dec,Prec,Lang,Value
Prospectus Date,Duration_01May2012_30Apr2013,,,,,2013-04-30
Risk/Return [Heading],Duration_01May2012_30Apr2013S000004500_MemberSchwabAmtTaxFreeMoneyFund_Member,,,,,Schwab AMT Tax-Free Money Fund<sup>&#8482;</sup>
Objective [Heading],Duration_01May2012_30Apr2013S000004500_MemberSchwabAmtTaxFreeMoneyFund_Member,,,,,<b>Investment objective </b>
Document Type,Duration_01May2012_30Apr2013,,,,,485BPOS
Expense [Heading],Duration_01May2012_30Apr2013S000004500_MemberSchwabAmtTaxFreeMoneyFund_Member,,,,,<b>Fund fees and expenses </b>
Shareholder Fees Caption [Text],Duration_01May2012_30Apr2013S000004500_MemberSchwabAmtTaxFreeMoneyFund_Member,,,,,Shareholder fees  (fees paid directly from your investment)
Operating Expenses Caption [Text],Duration_01May2012_30Apr2013S000004500_MemberSchwabAmtTaxFreeMoneyFund_Member,,,,,Annual fund operating expenses (expenses that you pay each year<br/>as a % of the value of your investment)
Expense Example [Heading],Duration_01May2012_30Apr2013S000004500_MemberSchwabAmtTaxFreeMoneyFund_Member,,,,,Example
Registrant Name,Duration_01May2012_30Apr2013,,,,,CHARLES SCHWAB FAMILY OF FUNDS
Expense Example by Year [Heading],Duration_01May2012_30Apr2013S000004500_MemberSchwabAmtTaxFreeMoneyFund_Member,,,,,"Expenses on a $10,000 investment"
Central Index Key,Duration_01May2012_30Apr2013,,,,,0000857156
Strategy [Heading],Duration_01May2012_30Apr2013S000004500_MemberSchwabAmtTaxFreeMoneyFund_Member,,,,,<b>Principal investment strategies </b>
Document Creation Date,Duration_01May2012_30Apr2013,,,,,2013-04-26
Risk [Heading],Duration_01May2012_30Apr2013S000004500_MemberSchwabAmtTaxFreeMoneyFund_Member,,,,,<b>Principal risks </b>
Document Effective Date,Duration_01May2012_30Apr2013,,,,,2013-04-30
Bar Chart and Performance Table [Heading],Duration_01May2012_30Apr2013S000004500_MemberSchwabAmtTaxFreeMoneyFund_Member,,,,,<b>Performance </b>
Bar Chart [Heading],Duration_01May2012_30Apr2013S000004500_MemberSchwabAmtTaxFreeMoneyFund_Member,,,,,Annual total returns (%) as of 12/31
Performance Table Heading,Duration_01May2012_30Apr2013S000004500_MemberSchwabAmtTaxFreeMoneyFund_Member,,,,,Average annual total returns (%) as of 12/31/12
"Objective, Primary [Text Block]",Duration_01May2012_30Apr2013S000004500_MemberSchwabAmtTaxFreeMoneyFund_Member,,,,,The fund&#8217;s goal is to seek the highest current income exempt from federal income tax that is consistent with stability of capital and liquidity.
Amendment Flag,Duration_01May2012_30Apr2013,,,,,false
Document Period End Date,Duration_01May2012_30Apr2013,,,,,2012-12-31
Expense Narrative [Text Block],Duration_01May2012_30Apr2013S000004500_MemberSchwabAmtTaxFreeMoneyFund_Member,,,,,This table describes the fees and expenses you may pay if you buy and hold Value Advantage Shares of the fund.
Expense Example Narrative [Text Block],Duration_01May2012_30Apr2013S000004500_MemberSchwabAmtTaxFreeMoneyFund_Member,,,,,"This example is intended to help you compare the cost of investing in the fund&#8217;s Value Advantage Shares with the cost of investing in other mutual funds. The example assumes that you invest $10,000 in the fund for the time periods indicated and then redeem all of your shares at the end of those time periods. The example also assumes that your investment has a 5% return each year and that the Value Advantage Shares&#8217; operating expenses remain the same. The figures are based on total annual fund operating expenses after expense reduction. The expenses would be the same whether you stayed in the fund or sold your shares at the end of each period. Your actual costs may be higher or lower."
Strategy Narrative [Text Block],Duration_01May2012_30Apr2013S000004500_MemberSchwabAmtTaxFreeMoneyFund_Member,,,,,"<b>To pursue its goal, the fund invests in money market securities from states and municipal agencies around the country and from U.S. territories and possessions.</b> These securities may include general obligation issues, which typically are backed by the issuer&#8217;s ability to levy taxes; revenue bonds, which typically are backed by a stream of revenue from a given source, such as a public water system or hospital; municipal commercial paper and municipal notes; and municipal leases, which may be used to finance construction or equipment purchases. The fund may invest more than 25% of its total assets in municipal securities financing similar projects such as those relating to education, health care, transportation, utilities, industrial development and housing. Under normal circumstances, the fund will invest at least 80% of its net assets in municipal money market securities whose interest is exempt from federal income tax, including the federal alternative minimum tax (AMT). The fund does not currently intend to invest in any municipal securities whose interest is subject to AMT; however, this would not prevent the fund from investing in such securities as a temporary defensive measure discussed below.<br /><br />The fund may purchase certain variable rate demand securities issued by single state or national closed-end municipal bond funds, which, in turn, invest primarily in portfolios of tax-exempt municipal bonds. It is anticipated that the interest on the variable rate demand securities will be exempt from federal income tax,  including the AMT. These securities are considered &#8220;municipal money market securities&#8221; for purposes of the fund&#8217;s 80% investment policy stated above.<br /><br />Many of the fund&#8217;s securities will be subject to credit or liquidity enhancements from U.S. and/or non-U.S. entities, which are designed to provide incremental levels of creditworthiness or liquidity. Some municipal securities have been structured to resemble variable- and floating-rate securities so that they meet the requirements for being considered money market instruments. <br /><br />In choosing securities, the fund&#8217;s manager seeks to maximize current income within the limits of the fund&#8217;s investment objective and credit, maturity and diversification policies.<br /><br /> Some of these policies may be stricter than the federal regulations that apply to all money funds.<br /><br />The investment adviser&#8217;s credit research department analyzes and monitors the securities that the fund owns or is considering buying. The manager may adjust the fund&#8217;s holdings or its average maturity based on actual or anticipated changes in interest rates or credit quality. To preserve its investors&#8217; capital, the fund seeks to maintain a stable $1.00 share price.<br /><br />During unusual market conditions, the fund may invest in taxable money market securities and municipal securities whose interest is subject to the AMT as a temporary defensive measure. When the fund engages in such activities, it may not achieve its investment goal."
