Label,contextRef,unitRef,Dec,Prec,Lang,Value
Prospectus Date,Duration_30Jan2012_29Jan2013,,,,,2013-01-29
Document Creation Date,Duration_30Jan2012_29Jan2013,,,,,2013-01-28
Document Effective Date,Duration_30Jan2012_29Jan2013,,,,,2013-01-29
Amendment Flag,Duration_30Jan2012_29Jan2013,,,,,false
Document Period End Date,Duration_30Jan2012_29Jan2013,,,,,2012-11-30
Document Type,Duration_30Jan2012_29Jan2013,,,,,485BPOS
Registrant Name,Duration_30Jan2012_29Jan2013,,,,,FIDELITY ADVISOR SERIES I
Central Index Key,Duration_30Jan2012_29Jan2013,,,,,0000722574
Maximum Cumulative Sales Charge (as a percentage of Offering Price),Duration_30Jan2012_29Jan2013S000005117_MemberC000013966_MemberAtbc_Member,pure,4,,,0.0575
Maximum Cumulative Sales Charge (as a percentage of Offering Price),Duration_30Jan2012_29Jan2013S000005117_MemberC000013969_MemberAtbc_Member,pure,4,,,0.0350
Maximum Cumulative Sales Charge (as a percentage of Offering Price),Duration_30Jan2012_29Jan2013S000005117_MemberC000013967_MemberAtbc_Member,pure,4,,,0.0000
Maximum Cumulative Sales Charge (as a percentage of Offering Price),Duration_30Jan2012_29Jan2013S000005117_MemberC000013968_MemberAtbc_Member,pure,4,,,0.0000
Maximum Deferred Sales Charge (as a percentage),Duration_30Jan2012_29Jan2013S000005117_MemberC000013966_MemberAtbc_Member,pure,4,,,0.0000
Maximum Deferred Sales Charge (as a percentage),Duration_30Jan2012_29Jan2013S000005117_MemberC000013969_MemberAtbc_Member,pure,4,,,0.0000
Maximum Deferred Sales Charge (as a percentage),Duration_30Jan2012_29Jan2013S000005117_MemberC000013967_MemberAtbc_Member,pure,4,,,0.0500
Maximum Deferred Sales Charge (as a percentage),Duration_30Jan2012_29Jan2013S000005117_MemberC000013968_MemberAtbc_Member,pure,4,,,0.0100
Management Fees (as a percentage of Assets),Duration_30Jan2012_29Jan2013S000005117_MemberC000013969_MemberAtbc_Member,pure,4,,,0.0060
Management Fees (as a percentage of Assets),Duration_30Jan2012_29Jan2013S000005117_MemberC000013968_MemberAtbc_Member,pure,4,,,0.0060
Management Fees (as a percentage of Assets),Duration_30Jan2012_29Jan2013S000005117_MemberC000013967_MemberAtbc_Member,pure,4,,,0.0060
Management Fees (as a percentage of Assets),Duration_30Jan2012_29Jan2013S000005117_MemberC000013966_MemberAtbc_Member,pure,4,,,0.0060
Distribution and Service (12b-1) Fees,Duration_30Jan2012_29Jan2013S000005117_MemberC000013966_MemberAtbc_Member,pure,4,,,0.0025
Distribution and Service (12b-1) Fees,Duration_30Jan2012_29Jan2013S000005117_MemberC000013969_MemberAtbc_Member,pure,4,,,0.0050
Distribution and Service (12b-1) Fees,Duration_30Jan2012_29Jan2013S000005117_MemberC000013967_MemberAtbc_Member,pure,4,,,0.0100
Distribution and Service (12b-1) Fees,Duration_30Jan2012_29Jan2013S000005117_MemberC000013968_MemberAtbc_Member,pure,4,,,0.0100
Other Expenses (as a percentage of Assets):,Duration_30Jan2012_29Jan2013S000005117_MemberC000013966_MemberAtbc_Member,pure,4,,,0.0036
Other Expenses (as a percentage of Assets):,Duration_30Jan2012_29Jan2013S000005117_MemberC000013969_MemberAtbc_Member,pure,4,,,0.0028
Other Expenses (as a percentage of Assets):,Duration_30Jan2012_29Jan2013S000005117_MemberC000013967_MemberAtbc_Member,pure,4,,,0.0037
Other Expenses (as a percentage of Assets):,Duration_30Jan2012_29Jan2013S000005117_MemberC000013968_MemberAtbc_Member,pure,4,,,0.0035
Total Annual Fund Operating Expenses,Duration_30Jan2012_29Jan2013S000005117_MemberC000013966_MemberAtbc_Member,pure,4,,,0.0121
Total Annual Fund Operating Expenses,Duration_30Jan2012_29Jan2013S000005117_MemberC000013969_MemberAtbc_Member,pure,4,,,0.0138
Total Annual Fund Operating Expenses,Duration_30Jan2012_29Jan2013S000005117_MemberC000013967_MemberAtbc_Member,pure,4,,,0.0197
Total Annual Fund Operating Expenses,Duration_30Jan2012_29Jan2013S000005117_MemberC000013968_MemberAtbc_Member,pure,4,,,0.0195
"Expense Example, with Redemption, 1 Year",Duration_30Jan2012_29Jan2013S000005117_MemberC000013966_MemberAtbc_Member,USD,INF,,,691
"Expense Example, with Redemption, 1 Year",Duration_30Jan2012_29Jan2013S000005117_MemberC000013969_MemberAtbc_Member,USD,INF,,,486
"Expense Example, with Redemption, 1 Year",Duration_30Jan2012_29Jan2013S000005117_MemberC000013967_MemberAtbc_Member,USD,INF,,,700
"Expense Example, with Redemption, 1 Year",Duration_30Jan2012_29Jan2013S000005117_MemberC000013968_MemberAtbc_Member,USD,INF,,,298
"Expense Example, with Redemption, 3 Years",Duration_30Jan2012_29Jan2013S000005117_MemberC000013966_MemberAtbc_Member,USD,INF,,,937
"Expense Example, with Redemption, 3 Years",Duration_30Jan2012_29Jan2013S000005117_MemberC000013969_MemberAtbc_Member,USD,INF,,,772
