Label,contextRef,unitRef,Dec,Prec,Lang,Value
"Expense Example by, Year, Caption [Text]",Duration_30Sep2011_29Sep2012S000005321_MemberAtbc_Member,,,,,"<font style=""FONT-FAMILY: Times New Roman"" size=""3"">Sell All Shares</font>"
"Expense Example by, Year, Caption [Text]",Duration_30Sep2011_29Sep2012S000005326_MemberAtbc_Member,,,,,"<font style=""FONT-FAMILY: Times New Roman"" size=""3"">Sell All Shares</font>"
"Expense Example by, Year, Caption [Text]",Duration_30Sep2011_29Sep2012S000005324_MemberAtbc_Member,,,,,"<font style=""FONT-FAMILY: Times New Roman"" size=""3"">Sell All Shares</font>"
"Expense Example by, Year, Caption [Text]",Duration_30Sep2011_29Sep2012S000005327_MemberAtbc_Member,,,,,"<font style=""FONT-FAMILY: Times New Roman"" size=""3"">Sell All Shares</font>"
"Expense Example by, Year, Caption [Text]",Duration_30Sep2011_29Sep2012S000005330_MemberAtbc_Member,,,,,"<font style=""FONT-FAMILY: Times New Roman"" size=""3"">Sell All Shares</font>"
"Expense Example by, Year, Caption [Text]",Duration_30Sep2011_29Sep2012S000005329_MemberAtbc_Member,,,,,"<font style=""FONT-FAMILY: Times New Roman"" size=""3"">Sell All Shares</font>"
"Expense Example, No Redemption, 5 Years",Duration_30Sep2011_29Sep2012S000005326_MemberC000014544_MemberAtbc_Member,USD,INF,,,"1,571"
"Expense Example, No Redemption, 5 Years",Duration_30Sep2011_29Sep2012S000005326_MemberC000014547_MemberAtbc_Member,USD,INF,,,"1,523"
"Expense Example, No Redemption, 5 Years",Duration_30Sep2011_29Sep2012S000005326_MemberC000014545_MemberAtbc_Member,USD,INF,,,"1,435"
"Expense Example by, Year, Caption [Text]",Duration_30Sep2011_29Sep2012S000005328_MemberAtbc_Member,,,,,"<font style=""FONT-FAMILY: Times New Roman"" size=""3"">Sell All Shares</font>"
"Expense Example by, Year, Caption [Text]",Duration_30Sep2011_29Sep2012S000005325_MemberAtbc_Member,,,,,"<font style=""FONT-FAMILY: Times New Roman"" size=""3"">Sell All Shares</font>"
"Expense Example by, Year, Caption [Text]",Duration_30Sep2011_29Sep2012S000005322_MemberAtbc_Member,,,,,"<font style=""FONT-FAMILY: Times New Roman"" size=""3"">Sell All Shares</font>"
"Expense Example by, Year, Caption [Text]",Duration_30Sep2011_29Sep2012S000005323_MemberAtbc_Member,,,,,"<font style=""FONT-FAMILY: Times New Roman"" size=""3"">Sell All Shares</font>"
