Label,contextRef,unitRef,Dec,Prec,Lang,Value
Document Type,c,,,,,485BPOS
Document Period End Date,c,,,,,2012-06-30
Registrant Name,c,,,,,PIMCO ETF Trust
Central Index Key,c,,,,,0001450011
Amendment Flag,c,,,,,false
Prospectus Date,c,,,,,2012-10-31
Document Creation Date,c,,,,,2012-10-26
Document Effective Date,c,,,,,2012-10-31
Risk/Return Detail [Table],c,,,,,"<div style=""display: none"">~ http://xbrl.sec.gov/rr/role/RiskReturnDetailData
column period compact *
row dei_DocumentInformationDocumentAxis compact *
row dei_LegalEntityAxis compact *
row rr_ProspectusShareClassAxis compact *
row rr_PerformanceMeasureAxis compact *
row primary compact * ~</div>"
Objective [Heading],c_S000029000_AAAA,,,,,"<p style=""font-size:12;padding-top:2;padding-bottom:0;padding-left:0;""><b>
                  Investment Objective
               </b></p>"
"Objective, Primary [Text Block]",c_S000029000_AAAA,,,,,"<p style=""font-size:12;padding-top:2;padding-bottom:0;padding-left:0;"">The Fund seeks maximum income, consistent with preservation of capital.</p>"
Expense [Heading],c_S000029000_AAAA,,,,,"<p style=""font-size:12;padding-top:2;padding-bottom:0;padding-left:0;""><b>
                  Fees and Expenses of the Fund


               </b></p>"
Expense Narrative [Text Block],c_S000029000_AAAA,,,,,"<p style=""font-size:12;padding-top:2;padding-bottom:0;padding-left:0;"">This table describes the fees and expenses that you may pay if you buy and hold shares of the Fund:</p>"
Shareholder Fees Caption [Text],c_S000029000_AAAA,,,,,"<p style=""font-size:12;padding-top:2;padding-bottom:0;padding-left:0;""><b>

                     <b>Shareholder Fees (fees paid directly from your investment):</b> None
               </b></p>"
Operating Expenses Caption [Text],c_S000029000_AAAA,,,,,"<p style=""font-size:12;padding-top:2;padding-bottom:0;padding-left:0;""><b>
                  <b>
                     Annual Fund Operating Expenses (expenses that you pay each year as a percentage of the value of your investment):
                  </b>
               </b></p>"
Expense Example Narrative [Text Block],c_S000029000_AAAA,,,,,"<p style=""font-size:12;padding-top:2;padding-bottom:0;padding-left:0;"">
               <b>Example.</b> The Example is intended to help you compare the cost of investing in the Fund with the costs of investing in other exchange-traded funds. The Example assumes that you invest $10,000 in the Fund for the time periods indicated and then redeem all of your shares at the end of those periods. The Example also assumes that your investment has a 5% return each year and that the Fund's operating expenses remain the same. Investors may pay brokerage commissions on their purchases and sales of Fund shares, which are not reflected in the Example. Although your actual costs may be higher or lower, based on these assumptions your costs would be:</p>"
