Label,contextRef,unitRef,Dec,Prec,Lang,Value
Document Type,c,,,,,485BPOS
Document Period End Date,c,,,,,2012-06-30
Registrant Name,c,,,,,PIMCO Equity Series
Central Index Key,c,,,,,0001479360
Amendment Flag,c,,,,,false
Prospectus Date,c,,,,,2012-10-31
Document Creation Date,c,,,,,2012-10-29
Document Effective Date,c,,,,,2012-10-31
Risk/Return Detail [Table],c,,,,,"<div style=""display: none"">~ http://xbrl.sec.gov/rr/role/RiskReturnDetailData
column period compact *
row dei_DocumentInformationDocumentAxis compact *
row dei_LegalEntityAxis compact *
row rr_ProspectusShareClassAxis compact *
row rr_PerformanceMeasureAxis compact *
row primary compact * ~</div>"
Objective [Heading],c_S000034646_AAAA,,,,,"<p style=""font-size:12;padding-top:2;padding-bottom:0;padding-left:0;""><b>
                  Investment Objective
               </b></p>"
"Objective, Primary [Text Block]",c_S000034646_AAAA,,,,,"<p style=""font-size:12;padding-top:2;padding-bottom:0;padding-left:0;"">The Fund's primary investment objective is to seek to provide current income that exceeds the average yield on global stocks, and to provide a growing stream of income per share over time. The Fund's secondary objective is to seek to provide long-term capital appreciation.</p>"
Expense [Heading],c_S000034646_AAAA,,,,,"<p style=""font-size:12;padding-top:2;padding-bottom:0;padding-left:0;""><b>
                  Fees and Expenses of the Fund


               </b></p>"
Expense Narrative [Text Block],c_S000034646_AAAA,,,,,"<p style=""font-size:12;padding-top:2;padding-bottom:0;padding-left:0;"">This table describes the fees and expenses that you may pay if you buy and hold shares of the Fund. You may qualify for sales charge discounts if you and your family invest, or agree to invest in the future, at least $50,000 in Class A shares of eligible funds offered by PIMCO Equity Series and PIMCO Funds. More information about these and other discounts is available in the ""Classes of Shares"" section on page 34 of the Fund's prospectus or from your financial advisor.</p>"
Shareholder Fees Caption [Text],c_S000034646_AAAA,,,,,"<p style=""font-size:12;padding-top:2;padding-bottom:0;padding-left:0;""><b>

                     <b>Shareholder Fees (fees paid directly from your investment):</b>

               </b></p>"
Operating Expenses Caption [Text],c_S000034646_AAAA,,,,,"<p style=""font-size:12;padding-top:2;padding-bottom:0;padding-left:0;""><b>
                  <b>
                     Annual Fund Operating Expenses (expenses that you pay each year as a percentage of the value of your investment):
                  </b>
               </b></p>"
