Label,contextRef,unitRef,Dec,Prec,Lang,Value
Shareholder Fees [Table],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,"<div style=""display:none"">~ http://www.schwabfunds.com/role/ScheduleShareholderFeesSchwabShort-TermBondMarketFund column period compact * ~</div>"
Annual Fund Operating Expenses [Table],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,"<div style=""display:none"">~ http://www.schwabfunds.com/role/ScheduleAnnualFundOperatingExpensesSchwabShort-TermBondMarketFund column period compact * ~</div>"
"Expense Example, With Redemption [Table]",Duration_02Apr2012_01Apr2013S000006809_Member,,,,,"<div style=""display:none"">~ http://www.schwabfunds.com/role/ScheduleExpenseExampleTransposedSchwabShort-TermBondMarketFund column period compact * ~</div>"
Performance [Table],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,"<div style=""display:none"">~ http://www.schwabfunds.com/role/ScheduleAverageAnnualTotalReturnsTransposedSchwabShort-TermBondMarketFund column period compact * ~</div>"
Document Type,Duration_02Apr2012_01Apr2013,,,,,485BPOS
Document Period End Date,Duration_02Apr2012_01Apr2013,,,,,2012-08-31
Registrant Name,Duration_02Apr2012_01Apr2013,,,,,SCHWAB INVESTMENTS
Central Index Key,Duration_02Apr2012_01Apr2013,,,,,0000869365
Amendment Flag,Duration_02Apr2012_01Apr2013,,,,,false
Document Creation Date,Duration_02Apr2012_01Apr2013,,,,,2013-03-28
Document Effective Date,Duration_02Apr2012_01Apr2013,,,,,2013-04-01
Prospectus Date,Duration_02Apr2012_01Apr2013,,,,,2013-04-01
Risk/Return [Heading],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,Schwab Short-Term Bond Market Fund<sup>TM</sup>
Objective [Heading],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,<b>Investment objective </b>
"Objective, Primary [Text Block]",Duration_02Apr2012_01Apr2013S000006809_Member,,,,,The fund seeks high current income by tracking the performance of the Barclays U.S. Government/Credit: 1-5 Years Index.
Expense [Heading],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,<b>Fund fees and expenses </b>
Expense Narrative [Text Block],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,This table describes the fees and expenses you may pay if you buy and hold shares of the fund.
Shareholder Fees Caption [Text],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,Shareholder fees (fees paid directly from your investment)
"Shareholder Fee, Other",Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,USD,INF,,,0
Operating Expenses Caption [Text],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,Annual fund operating expenses (expenses that you pay each year<br/> as a % of the value of your investment)
Management Fees (as a percentage of Assets),Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,pure,4,,,0.0030
Distribution and Service (12b-1) Fees,Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,pure,4,,,0.0000
Other Expenses (as a percentage of Assets):,Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,pure,4,,,0.0032
Expenses (as a percentage of Assets),Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,pure,4,,,0.0062
Fee Waiver or Reimbursement,Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,pure,4,,,-0.0033
Net Expenses (as a percentage of Assets),Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,pure,4,,,0.0029
Expense Example [Heading],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,Example
Expense Example Narrative [Text Block],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,"This example is intended to help you compare the cost of investing in the fund with the cost of investing in other mutual funds. The example assumes that you invest $10,000 in the fund for the time periods indicated and then redeem all of your shares at the end of those time periods. The example also assumes that your investment has a 5% return each year and that the fund&#8217;s operating expenses remain the same. The figures are based on total annual fund operating expenses after expense reduction. The expenses would be the same whether you stayed in the fund or sold your shares at the end of each period. Your actual costs may be higher or lower."
"Expense Example by, Year, Caption [Text]",Duration_02Apr2012_01Apr2013S000006809_Member,,,,,"Expenses on a $10,000 investment"
"Expense Example, with Redemption, 1 Year",Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,USD,INF,,,30
"Expense Example, with Redemption, 3 Years",Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,USD,INF,,,93
"Expense Example, with Redemption, 5 Years",Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,USD,INF,,,163
"Expense Example, with Redemption, 10 Years",Duration_02Apr2012_01Apr2013S000006809_MemberC000018437_Member,USD,INF,,,368
Portfolio Turnover [Heading],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,Portfolio turnover
Portfolio Turnover [Text Block],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,"The fund pays transaction costs, such as commissions, when it buys and sells securities (or &#8220;turns over&#8221; its portfolio). A higher portfolio turnover may indicate higher transaction costs and may result in higher taxes when fund shares are held in a taxable account. These costs, which are not reflected in the annual fund operating expenses or in the example, affect the fund&#8217;s performance. During the most recent fiscal year, the fund&#8217;s portfolio turnover rate was 92% of the average value of its portfolio."
Strategy [Heading],Duration_02Apr2012_01Apr2013S000006809_Member,,,,,<b>Principal investment strategies </b>
