Label,contextRef,unitRef,Dec,Prec,Lang,Value
Shareholder Fees Caption,v_Retail_S000002233,,,,,Shareholder Fees (Fees paid directly from your investment)
Shareholder Fees Caption,v_Participant_S000002233,,,,,Shareholder Fees (Fees paid directly from your investment)
Operating Expenses Caption,v_Retail_S000002233,,,,,Annual Fund Operating Expenses (Expenses that you pay each year as a percentage of the value of your investment)
Operating Expenses Caption,v_Participant_S000002233,,,,,Annual Fund Operating Expenses (Expenses that you pay each year as a percentage of the value of your investment)
Bar Chart and Performance Table:,v_Participant_S000002233,,,,,"Average Annual Total Returns for Periods Ended December 31, 2011"
Bar Chart and Performance Table:,v_Retail_S000002233,,,,,"Average Annual Total Returns for Periods Ended December 31, 2011"
Bar Chart and Performance Table,v_Participant_S000002233,,,,,Annual Total Returns
Expenses Heading,v_Participant_S000002233,,,,,Fees and Expenses
Investment objective:,v_Participant_S000002233,,,,,Investment Objective
Risk:,v_Participant_S000002233,,,,,Primary Risks
Risk/Return,v_Participant_S000002233,,,,,Risk/Return
Strategy:,v_Participant_S000002233,,,,,Primary Investment Policies
Prospectus Date,v_Participant_S000002233,,,,,2012-12-28
"Index No Deduction for Fees, Expenses, Taxes",v_Participant_S000002233,,,,,"(reflects no deduction for fees, expenses, or taxes)"
Bar Chart and Performance Table,v_Retail_S000002233,,,,,Annual Total Returns
Expenses Heading,v_Retail_S000002233,,,,,Fees and Expenses
Investment objective:,v_Retail_S000002233,,,,,Investment Objective
Risk:,v_Retail_S000002233,,,,,Primary Risks
Risk/Return,v_Retail_S000002233,,,,,Risk/Return
Strategy:,v_Retail_S000002233,,,,,Primary Investment Policies
Prospectus Date,v_Retail_S000002233,,,,,2012-12-28
"Index No Deduction for Fees, Expenses, Taxes",v_Retail_S000002233,,,,,"(reflects no deduction for fees, expenses, or taxes)"
