Label,contextRef,unitRef,Dec,Prec,Lang,Value
Shareholder Fees Caption,v_Retail_S000005786,,,,,Shareholder Fees (Fees paid directly from your investment)
Shareholder Fees Caption,v_Participant_S000005786,,,,,Shareholder Fees (Fees paid directly from your investment)
Shareholder Fees Caption,v_Institutional_S000005786,,,,,Shareholder Fees (Fees paid directly from your investment)
Shareholder Fees Caption,v_Participant2_S000005786,,,,,Shareholder Fees (Fees paid directly from your investment)
Shareholder Fees Caption,v_Signal_S000005786,,,,,Shareholder Fees (Fees paid directly from your investment)
Shareholder Fees Caption,v_ETF_S000005786,,,,,Shareholder Fees (Fees paid directly from your investment)
Operating Expenses Caption,v_Retail_S000005786,,,,,Annual Fund Operating Expenses (Expenses that you pay each year as a percentage of the value of your investment)
Operating Expenses Caption,v_Participant_S000005786,,,,,Annual Fund Operating Expenses (Expenses that you pay each year as a percentage of the value of your investment)
Operating Expenses Caption,v_Participant2_S000005786,,,,,Annual Fund Operating Expenses (Expenses that you pay each year as a percentage of the value of your investment)
Operating Expenses Caption,v_Institutional_S000005786,,,,,Annual Fund Operating Expenses (Expenses that you pay each year as a percentage of the value of your investment)
Operating Expenses Caption,v_ETF_S000005786,,,,,Annual Fund Operating Expenses (Expenses that you pay each year as a percentage of the value of your investment)
Operating Expenses Caption,v_Signal_S000005786,,,,,Annual Fund Operating Expenses (Expenses that you pay each year as a percentage of the value of your investment)
Bar Chart and Performance Table:,v_Retail_S000005786,,,,,"Average Annual Total Returns for Periods Ended December 31, 2012"
Bar Chart and Performance Table:,v_Participant_S000005786,,,,,"Average Annual Total Returns for Periods Ended December 31, 2012"
Bar Chart and Performance Table:,v_Institutional_S000005786,,,,,"Average Annual Total Returns for Periods Ended December 31, 2012"
Bar Chart and Performance Table:,v_ETF_S000005786,,,,,"Average Annual Total Returns for Periods Ended December 31, 2012"
Bar Chart and Performance Table:,v_Participant2_S000005786,,,,,"Average Annual Total Returns for Periods Ended December 31, 2012"
Bar Chart and Performance Table:,v_Signal_S000005786,,,,,"Average Annual Total Returns for Periods Ended December 31, 2012"
Bar Chart and Performance Table,v_ETF_S000005786,,,,,Annual Total Returns
Expenses Heading,v_ETF_S000005786,,,,,Fees and Expenses
Investment objective:,v_ETF_S000005786,,,,,Investment Objective
Risk:,v_ETF_S000005786,,,,,Primary Risks
Risk/Return,v_ETF_S000005786,,,,,Risk/Return
Strategy:,v_ETF_S000005786,,,,,Primary Investment Strategies
"PortfolioTurnover, Rate",v_ETF_S000005786,pure,2,,,0.08
Prospectus Date,v_ETF_S000005786,,,,,2013-02-28
"Index No Deduction for Fees, Expenses, Taxes",v_ETF_S000005786,,,,,(reflect no deduction for fees or expenses)
Bar Chart and Performance Table,v_Institutional_S000005786,,,,,Annual Total Returns
Expenses Heading,v_Institutional_S000005786,,,,,Fees and Expenses
Investment objective:,v_Institutional_S000005786,,,,,Investment Objective
Risk:,v_Institutional_S000005786,,,,,Primary Risks
Risk/Return,v_Institutional_S000005786,,,,,Risk/Return
Strategy:,v_Institutional_S000005786,,,,,Primary Investment Strategies
"PortfolioTurnover, Rate",v_Institutional_S000005786,pure,2,,,0.08
Prospectus Date,v_Institutional_S000005786,,,,,2013-02-28
"Index No Deduction for Fees, Expenses, Taxes",v_Institutional_S000005786,,,,,(reflect no deduction for fees or expenses)
Bar Chart and Performance Table,v_Participant_S000005786,,,,,Annual Total Returns
Expenses Heading,v_Participant_S000005786,,,,,Fees and Expenses
Investment objective:,v_Participant_S000005786,,,,,Investment Objective
Risk:,v_Participant_S000005786,,,,,Primary Risks
Risk/Return,v_Participant_S000005786,,,,,Risk/Return
Strategy:,v_Participant_S000005786,,,,,Primary Investment Strategies
"PortfolioTurnover, Rate",v_Participant_S000005786,pure,2,,,0.08
Prospectus Date,v_Participant_S000005786,,,,,2013-02-28
"Index No Deduction for Fees, Expenses, Taxes",v_Participant_S000005786,,,,,"(reflects no deduction for fees, expenses, or taxes)"
Bar Chart and Performance Table,v_Participant2_S000005786,,,,,Annual Total Returns
Expenses Heading,v_Participant2_S000005786,,,,,Fees and Expenses
Investment objective:,v_Participant2_S000005786,,,,,Investment Objective
Risk:,v_Participant2_S000005786,,,,,Primary Risks
Risk/Return,v_Participant2_S000005786,,,,,Risk/Return
Strategy:,v_Participant2_S000005786,,,,,Primary Investment Strategies
"PortfolioTurnover, Rate",v_Participant2_S000005786,pure,2,,,0.08
Prospectus Date,v_Participant2_S000005786,,,,,2013-02-28
"Index No Deduction for Fees, Expenses, Taxes",v_Participant2_S000005786,,,,,(reflects no deductions for fees or expenses)
Bar Chart and Performance Table,v_Retail_S000005786,,,,,Annual Total Returns
