Label,contextRef,unitRef,Dec,Prec,Lang,Value
Shareholder Fees Caption,v_Retail_S000004462,,,,,Shareholder Fees (Fees paid directly from your investment)
Shareholder Fees Caption,v_Participant_S000004462,,,,,Shareholder Fees (Fees paid directly from your investment)
Operating Expenses Caption,v_Retail_S000004462,,,,,Annual Fund Operating Expenses (Expenses that you pay each year as a percentage of the value of your investment)
Operating Expenses Caption,v_Participant_S000004462,,,,,Annual Fund Operating Expenses (Expenses that you pay each year as a percentage of the value of your investment)
Bar Chart and Performance Table:,v_Retail_S000004462,,,,,"Average Annual Total Returns for Periods Ended December 31, 2011"
Bar Chart and Performance Table:,v_Participant_S000004462,,,,,"Average Annual Total Returns for Periods Ended December 31, 2011"
Bar Chart and Performance Table,v_Participant_S000004462,,,,,Annual Total Returns
Expenses Heading,v_Participant_S000004462,,,,,Fees and Expenses
Investment objective:,v_Participant_S000004462,,,,,Investment Objective
Risk:,v_Participant_S000004462,,,,,Primary Risks
Risk/Return,v_Participant_S000004462,,,,,Risk/Return
Strategy:,v_Participant_S000004462,,,,,Primary Investment Policies
Prospectus Date,v_Participant_S000004462,,,,,2012-12-28
"Index No Deduction for Fees, Expenses, Taxes",v_Participant_S000004462,,,,,(reflects no deduction for fees or expenses)
Bar Chart and Performance Table,v_Retail_S000004462,,,,,Annual Total Returns
Expenses Heading,v_Retail_S000004462,,,,,Fees and Expenses
Investment objective:,v_Retail_S000004462,,,,,Investment Objective
Risk:,v_Retail_S000004462,,,,,Primary Risks
Risk/Return,v_Retail_S000004462,,,,,Risk/Return
Strategy:,v_Retail_S000004462,,,,,Primary Investment Policies
Prospectus Date,v_Retail_S000004462,,,,,2012-12-28
"Index No Deduction for Fees, Expenses, Taxes",v_Retail_S000004462,,,,,(reflects no deduction for fees or expenses)
EXAMPLE,v_Participant_S000004462,,,,,<p>Example</p>
"Expense Example, Narrative [Text Block]",v_Participant_S000004462,,,,,"<p>The following example is intended to help you compare the cost of investing in the Fund with the cost of investing in other mutual funds. It illustrates the hypothetical expenses that you would incur over various periods if you invest $10,000 in the Fund's shares. This example assumes that the Fund provides a return of 5% a year and that total annual fund operating expenses remain as stated in the preceding table. The results apply whether or not you redeem your investment at the end of the given period. Although your actual costs may be higher or lower, based on these assumptions your costs would be:</p>"
Fees and Expenses of the Fund,v_Participant_S000004462,,,,,<p>The following table describes the fees and expenses you may pay if you buy and hold shares of the Fund.</p>
Investment objective,v_Participant_S000004462,,,,,<p>The Fund seeks to provide current income while maintaining liquidity and a stable share price of $1.</p>
Performance Narrative,v_Participant_S000004462,,,,,"<p>The following bar chart and table are intended to help you understand the risks of investing in the Fund. The bar chart shows how the performance of the Fund has varied from one calendar year to another over the periods shown. The table shows how the average annual total returns compare with those of a relevant market index and a comparative benchmark, which have investment characteristics similar to those of the Fund. Returns for the U.S. Government Money Market Funds Average are derived from data provided by Lipper Inc. Keep in mind that the Fund's past performance does not indicate how the Fund will perform in the future. Updated performance information is available on our website at vanguard.com/performance or by calling Vanguard toll-free at 800-662-7447.</p>"
Risk Narrative,v_Participant_S000004462,,,,,"<p>The Fund is designed for investors with a low tolerance for risk; however, the Fund is subject to the following risks, which could affect the Fund's performance:</p><p>Income risk, which is the chance that the Fund's income will decline because of falling interest rates. Because the Fund's income is based on short-term interest rates-which can fluctuate significantly over short periods-income risk is expected to be high.</p><p>Manager risk, which is the chance that poor security selection will cause the Fund to underperform relevant benchmarks or other funds with a similar investment objective. </p><p>Credit risk, which is the chance that the issuer of a security will fail to pay interest and principal in a timely manner, or that negative perceptions of the issuer's ability to make such payments will cause the price of that security to decline. Credit risk should be very low for the Fund because it invests primarily in securities that are considered to be of high quality.</p><p>An investment in the Fund is not a deposit of a bank and is not insured or guaranteed by the Federal Deposit Insurance Corporation or any other government agency. Although the Fund seeks to preserve the value of your investment at $1 per share, it is possible to lose money by investing in the Fund.</p>"
